"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","view_history","rt","responses","repeat_instructions","key_press","index","keypress_isi","keypress_S2","block","trial_num","phase","group_type","pair_type","S1_stim","S2_stim","S1_img","S2_img","S1_chosen","S1_higher","accuracy","keypress_iti","total_bonus_tally"
"true","full_screen","d03082023hr1840","fullscreen","0","3922","0.0-0.0","0","0","45398","","","","","","","","","","","","","","","","","","","","","",""
"","instructions","","instructions","1","27274","0.0-1.0-0.0-0.0","0","0","45398","[{""page_index"":0,""viewing_time"":6981},{""page_index"":1,""viewing_time"":13300},{""page_index"":2,""viewing_time"":2891},{""page_index"":3,""viewing_time"":171}]","23346","","","","","","","","","","","","","","","","","","","",""
"","comprehension_check","","survey-multi-choice","2","58526","0.0-1.0-0.0-1.0","0","0","45398","","31239","{""Q0"":""True"",""Q1"":""D"",""Q2"":""Once the second image appears and while the screen 'MAKE A CHOICE' is shown"",""Q3"":""Green mark"",""Q4"":""either D or K""}","0","","","","","","","","","","","","","","","","","",""
"","start_exp","","html-keyboard-response","3","71112","0.0-1.0-1.0","0","0","45398","","12579","","","32","","","","","","","","","","","","","","","","",""
"","S1","","html-keyboard-response","4","71376","0.0-1.0-2.0","0","0","45398","","null","","","null","0","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","5","71536","0.0-1.0-3.0","0","0","45398","","null","","","null","0","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","6","71799","0.0-1.0-4.0","0","0","45398","","null","","","null","0","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","7","73560","0.0-1.0-5.0-0.0","0","0","45398","","null","","","null","0","","","1","0","training","adjacent","BA","2","1","O.jpg","P.jpg","NaN","0","0","",""
"","too_slow_prompt","","html-keyboard-response","8","74568","0.0-1.0-7.0-0.0","1","0","45398","","null","","","null","","","","","","","","","","","","","","","","",""
"","time_out","","html-keyboard-response","9","76583","0.0-1.0-8.0-0.0","0","0","45398","","null","","","null","0","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","10","77592","0.0-1.0-9.0","0","0","45398","","null","","","null","0","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","11","77856","0.0-1.0-11.0","0","0","45398","","null","","","null","1","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","12","78016","0.0-1.0-12.0","0","0","45398","","null","","","null","1","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","13","78278","0.0-1.0-13.0","0","0","45398","","null","","","null","1","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","14","78786","0.0-1.0-14.0-0.0","0","0","45398","","503","","","68","1","","","1","1","training","adjacent","BC","2","3","O.jpg","L.jpg","1","1","1","",""
"","feedback","","html-keyboard-response","15","79800","0.0-1.0-15.0-0.0","0","0","45398","","null","","","null","1","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","16","80808","0.0-1.0-18.0","0","0","45398","","null","","","null","1","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","17","81072","0.0-1.0-20.0","0","0","45398","","null","","","null","2","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","18","81232","0.0-1.0-21.0","0","0","45398","","null","","","null","2","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","19","81496","0.0-1.0-22.0","0","0","45398","","null","","","null","2","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","20","82218","0.0-1.0-23.0-0.0","0","0","45398","","716","","","75","2","","","1","2","training","adjacent","CB","3","2","L.jpg","O.jpg","0","0","1","",""
"","feedback","","html-keyboard-response","21","83233","0.0-1.0-24.0-0.0","0","0","45398","","null","","","null","2","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","22","84239","0.0-1.0-27.0","0","0","45398","","null","","","null","2","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","23","84503","0.0-1.0-29.0","0","0","45398","","null","","","null","3","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","24","84663","0.0-1.0-30.0","0","0","45398","","null","","","null","3","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","25","84927","0.0-1.0-31.0","0","0","45398","","null","","","null","3","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","26","85312","0.0-1.0-32.0-0.0","0","0","45398","","379","","","68","3","","","1","3","training","adjacent","BA","2","1","O.jpg","P.jpg","1","0","0","",""
"","feedback","","html-keyboard-response","27","86327","0.0-1.0-33.0-0.0","0","0","45398","","null","","","null","3","","","","","","","","","","","","","","","",""
"","time_out","","html-keyboard-response","28","88335","0.0-1.0-35.0-0.0","0","0","45398","","null","","","null","3","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","29","89343","0.0-1.0-36.0","0","0","45398","","null","","","null","3","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","30","89607","0.0-1.0-38.0","0","0","45398","","null","","","null","4","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","31","89768","0.0-1.0-39.0","0","0","45398","","null","","","null","4","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","32","90031","0.0-1.0-40.0","0","0","45398","","null","","","null","4","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","33","90456","0.0-1.0-41.0-0.0","0","0","45398","","419","","","75","4","","","1","4","training","adjacent","BC","2","3","O.jpg","L.jpg","0","1","0","",""
"","feedback","","html-keyboard-response","34","91463","0.0-1.0-42.0-0.0","0","0","45398","","null","","","null","4","","","","","","","","","","","","","","","",""
"","time_out","","html-keyboard-response","35","93470","0.0-1.0-44.0-0.0","0","0","45398","","null","","","null","4","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","36","94480","0.0-1.0-45.0","0","0","45398","","null","","","null","4","","","","","","","","","","","","","","","NaN",""
