"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","view_history","rt","responses","repeat_instructions","key_press","index","keypress_isi","keypress_S2","block","trial_num","phase","group_type","pair_type","S1_stim","S2_stim","S1_img","S2_img","S1_chosen","S1_higher","accuracy","keypress_iti","total_bonus_tally"
"true","full_screen","d07292022hr1937","fullscreen","0","18369","0.0-0.0","0","0","34902","","","","","","","","","","","","","","","","","","","","","",""
"","instructions","","instructions","1","46082","0.0-1.0-0.0-0.0","0","0","34902","[{""page_index"":0,""viewing_time"":5571},{""page_index"":1,""viewing_time"":9740},{""page_index"":2,""viewing_time"":10609},{""page_index"":3,""viewing_time"":1785}]","27707","","","","","","","","","","","","","","","","","","","",""
"","comprehension_check","","survey-multi-choice","2","68334","0.0-1.0-0.0-1.0","0","0","34902","","22240","{""Q0"":""True"",""Q1"":""D"",""Q2"":""When you see the prompt 'MAKE A CHOICE' after the second image was presented"",""Q3"":""Green mark"",""Q4"":""either D or K""}","0","","","","","","","","","","","","","","","","","",""
"","start_exp","","html-keyboard-response","3","125685","0.0-1.0-1.0","0","0","34902","","57345","","","32","","","","","","","","","","","","","","","","",""
"","S1","","html-keyboard-response","4","125948","0.0-1.0-2.0","0","0","34902","","null","","","null","0","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","5","127958","0.0-1.0-3.0","0","0","34902","","null","","","null","0","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","6","128219","0.0-1.0-4.0","0","0","34902","","null","","","null","0","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","7","128712","0.0-1.0-5.0","0","0","34902","","483","","","75","0","","","1","0","training","adjacent","BA","2","1","M.jpg","L.jpg","0","0","1","",""
"","feedback","","html-keyboard-response","8","129734","0.0-1.0-6.0-0.0","0","0","34902","","null","","","null","0","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","9","130751","0.0-1.0-9.0","0","0","34902","","null","","","null","0","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","10","131010","0.0-1.0-11.0","0","0","34902","","null","","","null","1","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","11","133021","0.0-1.0-12.0","0","0","34902","","null","","","null","1","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","12","133279","0.0-1.0-13.0","0","0","34902","","null","","","null","1","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","13","133684","0.0-1.0-14.0","0","0","34902","","400","","","68","1","","","1","1","training","adjacent","DC","4","3","P.jpg","R.jpg","1","0","0","",""
"","feedback","","html-keyboard-response","14","134691","0.0-1.0-15.0-0.0","0","0","34902","","null","","","null","1","","","","","","","","","","","","","","","",""
"","time_out","","html-keyboard-response","15","136700","0.0-1.0-17.0-0.0","0","0","34902","","null","","","null","1","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","16","137714","0.0-1.0-18.0","0","0","34902","","null","","","null","1","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","17","137977","0.0-1.0-20.0","0","0","34902","","null","","","null","2","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","18","139989","0.0-1.0-21.0","0","0","34902","","null","","","null","2","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","19","140250","0.0-1.0-22.0","0","0","34902","","null","","","null","2","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","20","140580","0.0-1.0-23.0","0","0","34902","","324","","","68","2","","","1","2","training","adjacent","AB","1","2","L.jpg","M.jpg","1","1","1","",""
"","feedback","","html-keyboard-response","21","141589","0.0-1.0-24.0-0.0","0","0","34902","","null","","","null","2","","","","","","","","","","","","","","","",""
