"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","view_history","rt","responses","repeat_instructions","key_press","index","keypress_isi","keypress_S2","block","trial_num","phase","group_type","pair_type","S1_stim","S2_stim","S1_img","S2_img","S1_chosen","S1_higher","accuracy","keypress_iti","total_bonus_tally"
"true","full_screen","d03032023hr2058","fullscreen","0","6870","0.0-0.0","0","0","77211","","","","","","","","","","","","","","","","","","","","","",""
"","instructions","","instructions","1","21028","0.0-1.0-0.0-0.0","0","0","77211","[{""page_index"":0,""viewing_time"":4179},{""page_index"":1,""viewing_time"":4211},{""page_index"":2,""viewing_time"":3266},{""page_index"":3,""viewing_time"":2492}]","14149","","","","","","","","","","","","","","","","","","","",""
"","comprehension_check","","survey-multi-choice","2","54557","0.0-1.0-0.0-1.0","0","0","77211","","33508","{""Q0"":""True"",""Q1"":""D"",""Q2"":""Once the second image appears and while the screen 'MAKE A CHOICE' is shown"",""Q3"":""Green mark"",""Q4"":""either D or K""}","1","","","","","","","","","","","","","","","","","",""
"","missed_instruction_checkup","","html-keyboard-response","3","64681","0.0-1.0-0.0-2.0-0.0","0","1","77211","","10110","","","32","","","","","","","","","","","","","","","","",""
"","instructions","","instructions","4","72115","0.0-1.0-0.1-0.1","0","0","77211","[{""page_index"":0,""viewing_time"":3148},{""page_index"":1,""viewing_time"":1411},{""page_index"":2,""viewing_time"":1339},{""page_index"":3,""viewing_time"":1524}]","7423","","","","","","","","","","","","","","","","","","","",""
"","comprehension_check","","survey-multi-choice","5","82721","0.0-1.0-0.1-1.1","0","0","77211","","10585","{""Q0"":""True"",""Q1"":""K"",""Q2"":""Once the second image appears and while the screen 'MAKE A CHOICE' is shown"",""Q3"":""Green mark"",""Q4"":""either D or K""}","0","","","","","","","","","","","","","","","","","",""
"","start_exp","","html-keyboard-response","6","85952","0.0-1.0-1.0","0","0","77211","","3222","","","32","","","","","","","","","","","","","","","","",""
"","S1","","html-keyboard-response","7","86275","0.0-1.0-2.0","0","0","77211","","null","","","null","0","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","8","86833","0.0-1.0-3.0","0","0","77211","","null","","","null","0","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","9","87093","0.0-1.0-4.0","0","0","77211","","null","","","null","0","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","10","88849","0.0-1.0-5.0-0.0","0","0","77211","","null","","","null","0","","","1","0","training","adjacent","FE","6","5","Q.jpg","L.jpg","NaN","0","0","",""
"","too_slow_prompt","","html-keyboard-response","11","89854","0.0-1.0-7.0-0.0","1","0","77211","","null","","","null","","","","","","","","","","","","","","","","",""
"","time_out","","html-keyboard-response","12","91859","0.0-1.0-8.0-0.0","0","0","77211","","null","","","null","0","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","13","92873","0.0-1.0-9.0","0","0","77211","","354","","","68","0","","","","","","","","","","","","","","","d",""
"","S1","","html-keyboard-response","14","93131","0.0-1.0-11.0","0","0","77211","","null","","","null","1","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","15","93646","0.0-1.0-12.0","0","0","77211","","228","","","75","1","k","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","16","93839","0.0-1.0-13.0","0","0","77211","","186","","","75","1","","k","1","1","training","adjacent","EF","5","6","L.jpg","Q.jpg","1","1","1","",""
