"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","view_history","rt","responses","repeat_instructions","key_press","index","keypress_isi","keypress_S2","block","trial_num","phase","group_type","pair_type","S1_stim","S2_stim","S1_img","S2_img","S1_chosen","S1_higher","accuracy","keypress_iti","total_bonus_tally"
"true","full_screen","d08012022hr1339","fullscreen","0","4438","0.0-0.0","0","0","74305","","","","","","","","","","","","","","","","","","","","","",""
"","instructions","","instructions","1","20404","0.0-1.0-0.0-0.0","0","0","74305","[{""page_index"":0,""viewing_time"":2435},{""page_index"":1,""viewing_time"":8264},{""page_index"":2,""viewing_time"":4352},{""page_index"":3,""viewing_time"":913}]","15965","","","","","","","","","","","","","","","","","","","",""
"","comprehension_check","","survey-multi-choice","2","30123","0.0-1.0-0.0-1.0","0","0","74305","","9716","{""Q0"":""True"",""Q1"":""K"",""Q2"":""When you see the prompt 'MAKE A CHOICE' after the second image was presented"",""Q3"":""Green mark"",""Q4"":""either D or K""}","0","","","","","","","","","","","","","","","","","",""
"","start_exp","","html-keyboard-response","3","32403","0.0-1.0-1.0","0","0","74305","","2278","","","32","","","","","","","","","","","","","","","","",""
"","S1","","html-keyboard-response","4","32657","0.0-1.0-2.0","0","0","74305","","null","","","null","0","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","5","34659","0.0-1.0-3.0","0","0","74305","","null","","","null","0","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","6","34914","0.0-1.0-4.0","0","0","74305","","null","","","null","0","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","7","35293","0.0-1.0-5.0","0","0","74305","","378","","","75","0","","","1","0","training","adjacent","DE","4","5","M.jpg","R.jpg","1","1","1","",""
"","feedback","","html-keyboard-response","8","36295","0.0-1.0-6.0-0.0","0","0","74305","","null","","","null","0","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","9","37297","0.0-1.0-9.0","0","0","74305","","null","","","null","0","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","10","37551","0.0-1.0-11.0","0","0","74305","","null","","","null","1","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","11","39553","0.0-1.0-12.0","0","0","74305","","null","","","null","1","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","12","39805","0.0-1.0-13.0","0","0","74305","","null","","","null","1","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","13","41260","0.0-1.0-14.0","0","0","74305","","1454","","","68","1","","","1","1","training","adjacent","BA","2","1","L.jpg","O.jpg","0","0","1","",""
"","feedback","","html-keyboard-response","14","42263","0.0-1.0-15.0-0.0","0","0","74305","","null","","","null","1","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","15","43265","0.0-1.0-18.0","0","0","74305","","null","","","null","1","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","16","43515","0.0-1.0-20.0","0","0","74305","","null","","","null","2","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","17","45518","0.0-1.0-21.0","0","0","74305","","null","","","null","2","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","18","45771","0.0-1.0-22.0","0","0","74305","","null","","","null","2","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","19","45841","0.0-1.0-23.0","0","0","74305","","69","","","75","2","","","1","2","training","adjacent","CD","3","4","N.jpg","M.jpg","1","1","1","",""
"","feedback","","html-keyboard-response","20","46844","0.0-1.0-24.0-0.0","0","0","74305","","null","","","null","2","","","","","","","","","","","","","","","",""
