"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","view_history","rt","responses","repeat_instructions","key_press","index","keypress_isi","keypress_S2","block","trial_num","phase","group_type","pair_type","S1_stim","S2_stim","S1_img","S2_img","S1_chosen","S1_higher","accuracy","keypress_iti","total_bonus_tally"
"true","full_screen","d03082023hr1448","fullscreen","0","16528","0.0-0.0","0","0","73869","","","","","","","","","","","","","","","","","","","","","",""
"","instructions","","instructions","1","53746","0.0-1.0-0.0-0.0","0","0","73869","[{""page_index"":0,""viewing_time"":4642},{""page_index"":1,""viewing_time"":22261},{""page_index"":2,""viewing_time"":8312},{""page_index"":3,""viewing_time"":1987}]","37203","","","","","","","","","","","","","","","","","","","",""
"","comprehension_check","","survey-multi-choice","2","80025","0.0-1.0-0.0-1.0","0","0","73869","","26260","{""Q0"":""True"",""Q1"":""K"",""Q2"":""Once the second image appears and while the screen 'MAKE A CHOICE' is shown"",""Q3"":""Green mark"",""Q4"":""either D or K""}","0","","","","","","","","","","","","","","","","","",""
"","start_exp","","html-keyboard-response","3","83358","0.0-1.0-1.0","0","0","73869","","3324","","","32","","","","","","","","","","","","","","","","",""
"","S1","","html-keyboard-response","4","83613","0.0-1.0-2.0","0","0","73869","","null","","","null","0","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","5","83767","0.0-1.0-3.0","0","0","73869","","null","","","null","0","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","6","84021","0.0-1.0-4.0","0","0","73869","","null","","","null","0","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","7","85784","0.0-1.0-5.0-0.0","0","0","73869","","null","","","null","0","","","1","0","training","adjacent","CB","3","2","L.jpg","P.jpg","NaN","0","0","",""
"","too_slow_prompt","","html-keyboard-response","8","86789","0.0-1.0-7.0-0.0","1","0","73869","","null","","","null","","","","","","","","","","","","","","","","",""
"","time_out","","html-keyboard-response","9","88830","0.0-1.0-8.0-0.0","0","0","73869","","null","","","null","0","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","10","89837","0.0-1.0-9.0","0","0","73869","","317","","","68","0","","","","","","","","","","","","","","","d",""
"","S1","","html-keyboard-response","11","90102","0.0-1.0-11.0","0","0","73869","","null","","","null","1","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","12","90262","0.0-1.0-12.0","0","0","73869","","null","","","null","1","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","13","90497","0.0-1.0-13.0","0","0","73869","","228","","","75","1","","k","1","1","training","adjacent","GF","7","6","Q.jpg","N.jpg","1","0","0","",""
"","feedback","","html-keyboard-response","14","91535","0.0-1.0-15.0-0.0","0","0","73869","","null","","","null","1","","","","","","","","","","","","","","","",""
"","time_out","","html-keyboard-response","15","93539","0.0-1.0-17.0-0.0","0","0","73869","","null","","","null","1","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","16","94545","0.0-1.0-18.0","0","0","73869","","130","","","75","1","","","","","","","","","","","","","","","k",""
"","S1","","html-keyboard-response","17","94799","0.0-1.0-20.0","0","0","73869","","null","","","null","2","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","18","94955","0.0-1.0-21.0","0","0","73869","","null","","","null","2","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","19","95178","0.0-1.0-22.0","0","0","73869","","216","","","75","2","","k","1","2","training","adjacent","FG","6","7","N.jpg","Q.jpg","1","1","1","",""
"","feedback","","html-keyboard-response","20","96471","0.0-1.0-24.0-0.0","0","0","73869","","null","","","null","2","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","21","97476","0.0-1.0-27.0","0","0","73869","","5","","","68","2","","","","","","","","","","","","","","","d",""
"","S1","","html-keyboard-response","22","97733","0.0-1.0-29.0","0","0","73869","","null","","","null","3","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","23","97888","0.0-1.0-30.0","0","0","73869","","null","","","null","3","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","24","97996","0.0-1.0-31.0","0","0","73869","","101","","","68","3","","d","1","3","training","adjacent","CB","3","2","L.jpg","P.jpg","0","0","1","",""
"","feedback","","html-keyboard-response","25","99003","0.0-1.0-33.0-0.0","0","0","73869","","null","","","null","3","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","26","100006","0.0-1.0-36.0","0","0","73869","","127","","","75","3","","","","","","","","","","","","","","","k",""
"","S1","","html-keyboard-response","27","100261","0.0-1.0-38.0","0","0","73869","","null","","","null","4","","","","","","","","","","","","","","","",""
