"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","view_history","rt","responses","repeat_instructions","key_press","index","keypress_isi","keypress_S2","block","trial_num","phase","group_type","pair_type","S1_stim","S2_stim","S1_img","S2_img","S1_chosen","S1_higher","accuracy","keypress_iti","total_bonus_tally"
"true","full_screen","d04132023hr1351","fullscreen","0","2398","0.0-0.0","0","0","48649","","","","","","","","","","","","","","","","","","","","","",""
"","instructions","","instructions","1","20763","0.0-1.0-0.0-0.0","0","0","48649","[{""page_index"":0,""viewing_time"":3706},{""page_index"":1,""viewing_time"":8943},{""page_index"":2,""viewing_time"":3600},{""page_index"":3,""viewing_time"":2113}]","18362","","","","","","","","","","","","","","","","","","","",""
"","comprehension_check","","survey-multi-choice","2","43955","0.0-1.0-0.0-1.0","0","0","48649","","23188","{""Q0"":""True"",""Q1"":""D"",""Q2"":""Only while the second image is shown"",""Q3"":""Green mark"",""Q4"":""either D or K""}","1","","","","","","","","","","","","","","","","","",""
"","missed_instruction_checkup","","html-keyboard-response","3","47332","0.0-1.0-0.0-2.0-0.0","0","1","48649","","3373","","","32","","","","","","","","","","","","","","","","",""
"","instructions","","instructions","4","56154","0.0-1.0-0.1-0.1","0","0","48649","[{""page_index"":0,""viewing_time"":2012},{""page_index"":1,""viewing_time"":3984},{""page_index"":2,""viewing_time"":1568},{""page_index"":3,""viewing_time"":1256}]","8821","","","","","","","","","","","","","","","","","","","",""
"","comprehension_check","","survey-multi-choice","5","67915","0.0-1.0-0.1-1.1","0","0","48649","","11758","{""Q0"":""True"",""Q1"":""K"",""Q2"":""Only when the screen 'MAKE A CHOICE' is shown"",""Q3"":""Green mark"",""Q4"":""either D or K""}","1","","","","","","","","","","","","","","","","","",""
"","missed_instruction_checkup","","html-keyboard-response","6","69084","0.0-1.0-0.1-2.1-0.1","0","1","48649","","1167","","","32","","","","","","","","","","","","","","","","",""
"","instructions","","instructions","7","94203","0.0-1.0-0.2-0.2","0","0","48649","[{""page_index"":0,""viewing_time"":2661},{""page_index"":1,""viewing_time"":21032},{""page_index"":2,""viewing_time"":752},{""page_index"":3,""viewing_time"":672}]","25117","","","","","","","","","","","","","","","","","","","",""
"","comprehension_check","","survey-multi-choice","8","111619","0.0-1.0-0.2-1.2","0","0","48649","","17413","{""Q0"":""True"",""Q1"":""K"",""Q2"":""Once the second image appears and while the screen 'MAKE A CHOICE' is shown"",""Q3"":""Green mark"",""Q4"":""either D or K""}","0","","","","","","","","","","","","","","","","","",""
"","start_exp","","html-keyboard-response","9","113660","0.0-1.0-1.0","0","0","48649","","2039","","","32","","","","","","","","","","","","","","","","",""
"","S1","","html-keyboard-response","10","113914","0.0-1.0-2.0","0","0","48649","","null","","","null","0","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","11","114918","0.0-1.0-3.0","0","0","48649","","null","","","null","0","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","12","115172","0.0-1.0-4.0","0","0","48649","","null","","","null","0","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","13","116716","0.0-1.0-5.0-0.0","0","0","48649","","1541","","","75","0","","","1","0","training","adjacent","GF","7","6","L.jpg","N.jpg","1","0","0","",""
"","feedback","","html-keyboard-response","14","117720","0.0-1.0-6.0-0.0","0","0","48649","","null","","","null","0","","","","","","","","","","","","","","","",""
"","time_out","","html-keyboard-response","15","119723","0.0-1.0-8.0-0.0","0","0","48649","","null","","","null","0","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","16","120727","0.0-1.0-9.0","0","0","48649","","null","","","null","0","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","17","120980","0.0-1.0-11.0","0","0","48649","","null","","","null","1","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","18","121984","0.0-1.0-12.0","0","0","48649","","533","","","68","1","d","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","19","122042","0.0-1.0-13.0","0","0","48649","","55","","","75","1","","k","1","1","training","adjacent","ED","5","4","R.jpg","P.jpg","1","0","0","",""
"","feedback","","html-keyboard-response","20","123045","0.0-1.0-15.0-0.0","0","0","48649","","null","","","null","1","","","","","","","","","","","","","","","",""
"","time_out","","html-keyboard-response","21","125048","0.0-1.0-17.0-0.0","0","0","48649","","null","","","null","1","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","22","126052","0.0-1.0-18.0","0","0","48649","","null","","","null","1","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","23","126306","0.0-1.0-20.0","0","0","48649","","null","","","null","2","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","24","127310","0.0-1.0-21.0","0","0","48649","","383","","","68","2","d","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","25","127563","0.0-1.0-22.0","0","0","48649","","null","","","null","2","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","26","128372","0.0-1.0-23.0-0.0","0","0","48649","","806","","","68","2","","","1","2","training","adjacent","EF","5","6","R.jpg","N.jpg","0","1","0","",""
"","feedback","","html-keyboard-response","27","129375","0.0-1.0-24.0-0.0","0","0","48649","","null","","","null","2","","","","","","","","","","","","","","","",""
"","time_out","","html-keyboard-response","28","131379","0.0-1.0-26.0-0.0","0","0","48649","","null","","","null","2","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","29","132382","0.0-1.0-27.0","0","0","48649","","null","","","null","2","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","30","132636","0.0-1.0-29.0","0","0","48649","","null","","","null","3","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","31","133640","0.0-1.0-30.0","0","0","48649","","973","","","75","3","k","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","32","133893","0.0-1.0-31.0","0","0","48649","","null","","","null","3","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","33","134780","0.0-1.0-32.0-0.0","0","0","48649","","885","","","75","3","","","1","3","training","adjacent","BC","2","3","O.jpg","M.jpg","1","1","1","",""
"","feedback","","html-keyboard-response","34","135784","0.0-1.0-33.0-0.0","0","0","48649","","null","","","null","3","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","35","136788","0.0-1.0-36.0","0","0","48649","","null","","","null","3","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","36","137041","0.0-1.0-38.0","0","0","48649","","null","","","null","4","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","37","138044","0.0-1.0-39.0","0","0","48649","","null","","","null","4","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","38","138298","0.0-1.0-40.0","0","0","48649","","null","","","null","4","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","39","139436","0.0-1.0-41.0-0.0","0","0","48649","","1135","","","68","4","","","1","4","training","adjacent","ED","5","4","R.jpg","P.jpg","0","0","1","",""
"","feedback","","html-keyboard-response","40","140439","0.0-1.0-42.0-0.0","0","0","48649","","null","","","null","4","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","41","141442","0.0-1.0-45.0","0","0","48649","","null","","","null","4","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","42","141696","0.0-1.0-47.0","0","0","48649","","null","","","null","5","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","43","142700","0.0-1.0-48.0","0","0","48649","","null","","","null","5","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","44","142953","0.0-1.0-49.0","0","0","48649","","null","","","null","5","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","45","143556","0.0-1.0-50.0-0.0","0","0","48649","","600","","","75","5","","","1","5","training","adjacent","DE","4","5","P.jpg","R.jpg","1","1","1","",""
"","feedback","","html-keyboard-response","46","144560","0.0-1.0-51.0-0.0","0","0","48649","","null","","","null","5","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","47","145563","0.0-1.0-54.0","0","0","48649","","null","","","null","5","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","48","145817","0.0-1.0-56.0","0","0","48649","","null","","","null","6","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","49","146821","0.0-1.0-57.0","0","0","48649","","null","","","null","6","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","50","147076","0.0-1.0-58.0","0","0","48649","","null","","","null","6","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","51","147468","0.0-1.0-59.0-0.0","0","0","48649","","390","","","68","6","","","1","6","training","adjacent","AB","1","2","Q.jpg","O.jpg","0","1","0","",""
"","feedback","","html-keyboard-response","52","148471","0.0-1.0-60.0-0.0","0","0","48649","","null","","","null","6","","","","","","","","","","","","","","","",""
"","time_out","","html-keyboard-response","53","150475","0.0-1.0-62.0-0.0","0","0","48649","","null","","","null","6","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","54","151479","0.0-1.0-63.0","0","0","48649","","null","","","null","6","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","55","151732","0.0-1.0-65.0","0","0","48649","","null","","","null","7","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","56","152735","0.0-1.0-66.0","0","0","48649","","null","","","null","7","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","57","152989","0.0-1.0-67.0","0","0","48649","","null","","","null","7","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","58","153044","0.0-1.0-68.0-0.0","0","0","48649","","53","","","75","7","","","1","7","training","adjacent","DE","4","5","P.jpg","R.jpg","1","1","1","",""
"","feedback","","html-keyboard-response","59","154049","0.0-1.0-69.0-0.0","0","0","48649","","null","","","null","7","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","60","155052","0.0-1.0-72.0","0","0","48649","","null","","","null","7","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","61","155306","0.0-1.0-74.0","0","0","48649","","null","","","null","8","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","62","156309","0.0-1.0-75.0","0","0","48649","","null","","","null","8","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","63","156562","0.0-1.0-76.0","0","0","48649","","null","","","null","8","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","64","157772","0.0-1.0-77.0-0.0","0","0","48649","","1207","","","75","8","","","1","8","training","adjacent","CB","3","2","M.jpg","O.jpg","1","0","0","",""
"","feedback","","html-keyboard-response","65","158775","0.0-1.0-78.0-0.0","0","0","48649","","null","","","null","8","","","","","","","","","","","","","","","",""
"","time_out","","html-keyboard-response","66","160778","0.0-1.0-80.0-0.0","0","0","48649","","null","","","null","8","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","67","161782","0.0-1.0-81.0","0","0","48649","","null","","","null","8","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","68","162036","0.0-1.0-83.0","0","0","48649","","null","","","null","9","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","69","163039","0.0-1.0-84.0","0","0","48649","","null","","","null","9","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","70","163293","0.0-1.0-85.0","0","0","48649","","null","","","null","9","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","71","163652","0.0-1.0-86.0-0.0","0","0","48649","","357","","","75","9","","","1","9","training","adjacent","EF","5","6","R.jpg","N.jpg","1","1","1","",""
"","feedback","","html-keyboard-response","72","164657","0.0-1.0-87.0-0.0","0","0","48649","","null","","","null","9","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","73","165661","0.0-1.0-90.0","0","0","48649","","null","","","null","9","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","74","165914","0.0-1.0-92.0","0","0","48649","","null","","","null","10","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","75","166916","0.0-1.0-93.0","0","0","48649","","null","","","null","10","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","76","167169","0.0-1.0-94.0","0","0","48649","","null","","","null","10","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","77","167692","0.0-1.0-95.0-0.0","0","0","48649","","521","","","68","10","","","1","10","training","adjacent","CB","3","2","M.jpg","O.jpg","0","0","1","",""
"","feedback","","html-keyboard-response","78","168696","0.0-1.0-96.0-0.0","0","0","48649","","null","","","null","10","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","79","169700","0.0-1.0-99.0","0","0","48649","","null","","","null","10","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","80","169953","0.0-1.0-101.0","0","0","48649","","null","","","null","11","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","81","170957","0.0-1.0-102.0","0","0","48649","","null","","","null","11","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","82","171211","0.0-1.0-103.0","0","0","48649","","null","","","null","11","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","83","171332","0.0-1.0-104.0-0.0","0","0","48649","","119","","","68","11","","","1","11","training","adjacent","FG","6","7","N.jpg","L.jpg","0","1","0","",""
"","feedback","","html-keyboard-response","84","172335","0.0-1.0-105.0-0.0","0","0","48649","","null","","","null","11","","","","","","","","","","","","","","","",""
"","time_out","","html-keyboard-response","85","174339","0.0-1.0-107.0-0.0","0","0","48649","","null","","","null","11","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","86","175342","0.0-1.0-108.0","0","0","48649","","null","","","null","11","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","87","175596","0.0-1.0-110.0","0","0","48649","","null","","","null","12","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","88","176599","0.0-1.0-111.0","0","0","48649","","null","","","null","12","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","89","176852","0.0-1.0-112.0","0","0","48649","","null","","","null","12","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","90","176884","0.0-1.0-113.0-0.0","0","0","48649","","29","","","75","12","","","1","12","training","adjacent","BA","2","1","O.jpg","Q.jpg","1","0","0","",""
"","feedback","","html-keyboard-response","91","177888","0.0-1.0-114.0-0.0","0","0","48649","","null","","","null","12","","","","","","","","","","","","","","","",""
"","time_out","","html-keyboard-response","92","179892","0.0-1.0-116.0-0.0","0","0","48649","","null","","","null","12","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","93","180895","0.0-1.0-117.0","0","0","48649","","null","","","null","12","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","94","181149","0.0-1.0-119.0","0","0","48649","","null","","","null","13","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","95","182152","0.0-1.0-120.0","0","0","48649","","null","","","null","13","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","96","182406","0.0-1.0-121.0","0","0","48649","","null","","","null","13","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","97","182414","0.0-1.0-122.0-0.0","0","0","48649","","6","","","75","13","","","1","13","training","adjacent","ED","5","4","R.jpg","P.jpg","1","0","0","",""
"","feedback","","html-keyboard-response","98","183417","0.0-1.0-123.0-0.0","0","0","48649","","null","","","null","13","","","","","","","","","","","","","","","",""
"","time_out","","html-keyboard-response","99","185421","0.0-1.0-125.0-0.0","0","0","48649","","null","","","null","13","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","100","186425","0.0-1.0-126.0","0","0","48649","","null","","","null","13","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","101","186678","0.0-1.0-128.0","0","0","48649","","null","","","null","14","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","102","187681","0.0-1.0-129.0","0","0","48649","","null","","","null","14","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","103","187936","0.0-1.0-130.0","0","0","48649","","null","","","null","14","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","104","188237","0.0-1.0-131.0-0.0","0","0","48649","","297","","","68","14","","","1","14","training","adjacent","DC","4","3","P.jpg","M.jpg","0","0","1","",""
"","feedback","","html-keyboard-response","105","189241","0.0-1.0-132.0-0.0","0","0","48649","","null","","","null","14","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","106","190244","0.0-1.0-135.0","0","0","48649","","null","","","null","14","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","107","190498","0.0-1.0-137.0","0","0","48649","","null","","","null","15","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","108","191501","0.0-1.0-138.0","0","0","48649","","null","","","null","15","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","109","191708","0.0-1.0-139.0","0","0","48649","","204","","","68","15","","d","1","15","training","adjacent","FE","6","5","N.jpg","R.jpg","0","0","1","",""
"","feedback","","html-keyboard-response","110","192712","0.0-1.0-141.0-0.0","0","0","48649","","null","","","null","15","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","111","193716","0.0-1.0-144.0","0","0","48649","","null","","","null","15","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","112","193970","0.0-1.0-146.0","0","0","48649","","null","","","null","16","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","113","194973","0.0-1.0-147.0","0","0","48649","","null","","","null","16","NaN","","","","","","","","","","","","","","",""
