"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","view_history","rt","responses","repeat_instructions","key_press","index","keypress_isi","keypress_S2","block","trial_num","phase","group_type","pair_type","S1_stim","S2_stim","S1_img","S2_img","S1_chosen","S1_higher","accuracy","keypress_iti","total_bonus_tally"
"true","full_screen","d03032023hr1945","fullscreen","0","3226","0.0-0.0","0","0","18985","","","","","","","","","","","","","","","","","","","","","",""
"","instructions","","instructions","1","16217","0.0-1.0-0.0-0.0","0","0","18985","[{""page_index"":0,""viewing_time"":3570},{""page_index"":1,""viewing_time"":2642},{""page_index"":2,""viewing_time"":4606},{""page_index"":3,""viewing_time"":2157}]","12977","","","","","","","","","","","","","","","","","","","",""
"","comprehension_check","","survey-multi-choice","2","51623","0.0-1.0-0.0-1.0","0","0","18985","","35381","{""Q0"":""False"",""Q1"":""D"",""Q2"":""Only when the screen 'MAKE A CHOICE' is shown"",""Q3"":""Green mark"",""Q4"":""either D or K""}","1","","","","","","","","","","","","","","","","","",""
"","missed_instruction_checkup","","html-keyboard-response","3","55322","0.0-1.0-0.0-2.0-0.0","0","1","18985","","3687","","","32","","","","","","","","","","","","","","","","",""
"","instructions","","instructions","4","76569","0.0-1.0-0.1-0.1","0","0","18985","[{""page_index"":0,""viewing_time"":2094},{""page_index"":1,""viewing_time"":16820},{""page_index"":2,""viewing_time"":1400},{""page_index"":3,""viewing_time"":914}]","21229","","","","","","","","","","","","","","","","","","","",""
"","comprehension_check","","survey-multi-choice","5","93378","0.0-1.0-0.1-1.1","0","0","18985","","16776","{""Q0"":""True"",""Q1"":""D"",""Q2"":""Only when the screen 'MAKE A CHOICE' is shown"",""Q3"":""Green mark"",""Q4"":""either D or K""}","1","","","","","","","","","","","","","","","","","",""
"","missed_instruction_checkup","","html-keyboard-response","6","95880","0.0-1.0-0.1-2.1-0.1","0","1","18985","","2490","","","32","","","","","","","","","","","","","","","","",""
"","instructions","","instructions","7","162781","0.0-1.0-0.2-0.2","0","0","18985","[{""page_index"":0,""viewing_time"":45377},{""page_index"":1,""viewing_time"":11180},{""page_index"":2,""viewing_time"":8613},{""page_index"":3,""viewing_time"":1711}]","66883","","","","","","","","","","","","","","","","","","","",""
"","comprehension_check","","survey-multi-choice","8","220998","0.0-1.0-0.2-1.2","0","0","18985","","58196","{""Q0"":""True"",""Q1"":""K"",""Q2"":""Only when the screen 'MAKE A CHOICE' is shown"",""Q3"":""Green mark"",""Q4"":""either D or K""}","1","","","","","","","","","","","","","","","","","",""
"","missed_instruction_checkup","","html-keyboard-response","9","223346","0.0-1.0-0.2-2.2-0.2","0","1","18985","","2339","","","32","","","","","","","","","","","","","","","","",""
