"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","view_history","rt","responses","repeat_instructions","key_press","index","keypress_isi","keypress_S2","block","trial_num","phase","group_type","pair_type","S1_stim","S2_stim","S1_img","S2_img","S1_chosen","S1_higher","accuracy","keypress_iti","total_bonus_tally"
"true","full_screen","d08012022hr1455","fullscreen","0","3760","0.0-0.0","0","0","40046","","","","","","","","","","","","","","","","","","","","","",""
"","instructions","","instructions","1","194403","0.0-1.0-0.0-0.0","0","0","40046","[{""page_index"":0,""viewing_time"":6721},{""page_index"":1,""viewing_time"":176404},{""page_index"":2,""viewing_time"":5113},{""page_index"":3,""viewing_time"":2398}]","190639","","","","","","","","","","","","","","","","","","","",""
"","comprehension_check","","survey-multi-choice","2","256804","0.0-1.0-0.0-1.0","0","0","40046","","62393","{""Q0"":""True"",""Q1"":""D"",""Q2"":""When you see the prompt 'MAKE A CHOICE' after the second image was presented"",""Q3"":""Green mark"",""Q4"":""either D or K""}","0","","","","","","","","","","","","","","","","","",""
"","start_exp","","html-keyboard-response","3","261203","0.0-1.0-1.0","0","0","40046","","4395","","","32","","","","","","","","","","","","","","","","",""
"","S1","","html-keyboard-response","4","261461","0.0-1.0-2.0","0","0","40046","","null","","","null","0","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","5","263464","0.0-1.0-3.0","0","0","40046","","null","","","null","0","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","6","263719","0.0-1.0-4.0","0","0","40046","","null","","","null","0","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","7","265724","0.0-1.0-5.0","0","0","40046","","null","","","null","0","","","1","0","training","adjacent","FG","6","7","R.jpg","L.jpg","NaN","1","0","",""
"","too_slow_prompt","","html-keyboard-response","8","266730","0.0-1.0-7.0-0.0","1","0","40046","","null","","","null","","","","","","","","","","","","","","","","",""
"","time_out","","html-keyboard-response","9","268739","0.0-1.0-8.0-0.0","0","0","40046","","null","","","null","0","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","10","269743","0.0-1.0-9.0","0","0","40046","","68","","","68","0","","","","","","","","","","","","","","","d",""
"","S1","","html-keyboard-response","11","269996","0.0-1.0-11.0","0","0","40046","","null","","","null","1","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","12","272003","0.0-1.0-12.0","0","0","40046","","123","","","75","1","k","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","13","272257","0.0-1.0-13.0","0","0","40046","","null","","","null","1","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","14","272352","0.0-1.0-14.0","0","0","40046","","93","","","68","1","","","1","1","training","adjacent","DE","4","5","P.jpg","Q.jpg","1","1","1","",""
