"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","view_history","rt","responses","repeat_instructions","key_press","index","keypress_isi","keypress_S2","block","trial_num","phase","group_type","pair_type","S1_stim","S2_stim","S1_img","S2_img","S1_chosen","S1_higher","accuracy","keypress_iti","total_bonus_tally"
"true","full_screen","d03082023hr2232","fullscreen","0","21528","0.0-0.0","0","0","43013","","","","","","","","","","","","","","","","","","","","","",""
"","instructions","","instructions","1","55265","0.0-1.0-0.0-0.0","0","0","43013","[{""page_index"":0,""viewing_time"":3327},{""page_index"":1,""viewing_time"":23157},{""page_index"":2,""viewing_time"":5428},{""page_index"":3,""viewing_time"":1824}]","33736","","","","","","","","","","","","","","","","","","","",""
"","comprehension_check","","survey-multi-choice","2","78984","0.0-1.0-0.0-1.0","0","0","43013","","23717","{""Q0"":""True"",""Q1"":""K"",""Q2"":""Once the second image appears and while the screen 'MAKE A CHOICE' is shown"",""Q3"":""Green mark"",""Q4"":""either D or K""}","0","","","","","","","","","","","","","","","","","",""
"","start_exp","","html-keyboard-response","3","80644","0.0-1.0-1.0","0","0","43013","","1658","","","32","","","","","","","","","","","","","","","","",""
"","S1","","html-keyboard-response","4","80897","0.0-1.0-2.0","0","0","43013","","null","","","null","0","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","5","81049","0.0-1.0-3.0","0","0","43013","","null","","","null","0","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","6","81302","0.0-1.0-4.0","0","0","43013","","null","","","null","0","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","7","82668","0.0-1.0-5.0-0.0","0","0","43013","","1366","","","75","0","","","1","0","training","adjacent","AB","1","2","Q.jpg","N.jpg","1","1","1","",""
"","feedback","","html-keyboard-response","8","83671","0.0-1.0-6.0-0.0","0","0","43013","","null","","","null","0","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","9","84673","0.0-1.0-9.0","0","0","43013","","null","","","null","0","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","10","84924","0.0-1.0-11.0","0","0","43013","","null","","","null","1","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","11","85076","0.0-1.0-12.0","0","0","43013","","null","","","null","1","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","12","85328","0.0-1.0-13.0","0","0","43013","","null","","","null","1","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","13","86003","0.0-1.0-14.0-0.0","0","0","43013","","675","","","68","1","","","1","1","training","adjacent","BA","2","1","N.jpg","Q.jpg","0","0","1","",""
"","feedback","","html-keyboard-response","14","87005","0.0-1.0-15.0-0.0","0","0","43013","","null","","","null","1","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","15","88007","0.0-1.0-18.0","0","0","43013","","null","","","null","1","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","16","88258","0.0-1.0-20.0","0","0","43013","","null","","","null","2","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","17","88411","0.0-1.0-21.0","0","0","43013","","null","","","null","2","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","18","88662","0.0-1.0-22.0","0","0","43013","","null","","","null","2","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","19","89191","0.0-1.0-23.0-0.0","0","0","43013","","529","","","68","2","","","1","2","training","adjacent","FE","6","5","P.jpg","L.jpg","0","0","1","",""
"","feedback","","html-keyboard-response","20","90193","0.0-1.0-24.0-0.0","0","0","43013","","null","","","null","2","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","21","91196","0.0-1.0-27.0","0","0","43013","","null","","","null","2","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","22","91448","0.0-1.0-29.0","0","0","43013","","null","","","null","3","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","23","91600","0.0-1.0-30.0","0","0","43013","","null","","","null","3","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","24","91853","0.0-1.0-31.0","0","0","43013","","null","","","null","3","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","25","92258","0.0-1.0-32.0-0.0","0","0","43013","","404","","","68","3","","","1","3","training","adjacent","DE","4","5","R.jpg","L.jpg","0","1","0","",""
"","feedback","","html-keyboard-response","26","93260","0.0-1.0-33.0-0.0","0","0","43013","","null","","","null","3","","","","","","","","","","","","","","","",""
"","time_out","","html-keyboard-response","27","95261","0.0-1.0-35.0-0.0","0","0","43013","","null","","","null","3","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","28","96263","0.0-1.0-36.0","0","0","43013","","null","","","null","3","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","29","96515","0.0-1.0-38.0","0","0","43013","","null","","","null","4","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","30","96666","0.0-1.0-39.0","0","0","43013","","null","","","null","4","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","31","96919","0.0-1.0-40.0","0","0","43013","","null","","","null","4","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","32","97340","0.0-1.0-41.0-0.0","0","0","43013","","420","","","75","4","","","1","4","training","adjacent","EF","5","6","L.jpg","P.jpg","1","1","1","",""
"","feedback","","html-keyboard-response","33","98342","0.0-1.0-42.0-0.0","0","0","43013","","null","","","null","4","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","34","99343","0.0-1.0-45.0","0","0","43013","","null","","","null","4","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","35","99596","0.0-1.0-47.0","0","0","43013","","null","","","null","5","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","36","99748","0.0-1.0-48.0","0","0","43013","","null","","","null","5","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","37","99756","0.0-1.0-49.0","0","0","43013","","7","","","68","5","","d","1","5","training","adjacent","BC","2","3","N.jpg","M.jpg","0","1","0","",""
"","feedback","","html-keyboard-response","38","100758","0.0-1.0-51.0-0.0","0","0","43013","","null","","","null","5","","","","","","","","","","","","","","","",""
"","time_out","","html-keyboard-response","39","102760","0.0-1.0-53.0-0.0","0","0","43013","","null","","","null","5","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","40","103762","0.0-1.0-54.0","0","0","43013","","null","","","null","5","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","41","104013","0.0-1.0-56.0","0","0","43013","","null","","","null","6","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","42","104166","0.0-1.0-57.0","0","0","43013","","null","","","null","6","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","43","104419","0.0-1.0-58.0","0","0","43013","","null","","","null","6","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","44","104744","0.0-1.0-59.0-0.0","0","0","43013","","324","","","75","6","","","1","6","training","adjacent","FE","6","5","P.jpg","L.jpg","1","0","0","",""
"","feedback","","html-keyboard-response","45","105746","0.0-1.0-60.0-0.0","0","0","43013","","null","","","null","6","","","","","","","","","","","","","","","",""
"","time_out","","html-keyboard-response","46","107749","0.0-1.0-62.0-0.0","0","0","43013","","null","","","null","6","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","47","108750","0.0-1.0-63.0","0","0","43013","","null","","","null","6","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","48","109003","0.0-1.0-65.0","0","0","43013","","null","","","null","7","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","49","109155","0.0-1.0-66.0","0","0","43013","","138","","","68","7","d","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","50","109407","0.0-1.0-67.0","0","0","43013","","null","","","null","7","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","51","109839","0.0-1.0-68.0-0.0","0","0","43013","","432","","","68","7","","","1","7","training","adjacent","CB","3","2","M.jpg","N.jpg","0","0","1","",""
"","feedback","","html-keyboard-response","52","110841","0.0-1.0-69.0-0.0","0","0","43013","","null","","","null","7","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","53","111842","0.0-1.0-72.0","0","0","43013","","null","","","null","7","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","54","112093","0.0-1.0-74.0","0","0","43013","","null","","","null","8","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","55","112245","0.0-1.0-75.0","0","0","43013","","null","","","null","8","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","56","112496","0.0-1.0-76.0","0","0","43013","","null","","","null","8","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","57","112674","0.0-1.0-77.0-0.0","0","0","43013","","176","","","75","8","","","1","8","training","adjacent","FG","6","7","P.jpg","O.jpg","1","1","1","",""
"","feedback","","html-keyboard-response","58","113676","0.0-1.0-78.0-0.0","0","0","43013","","null","","","null","8","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","59","114678","0.0-1.0-81.0","0","0","43013","","null","","","null","8","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","60","114929","0.0-1.0-83.0","0","0","43013","","null","","","null","9","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","61","115082","0.0-1.0-84.0","0","0","43013","","null","","","null","9","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","62","115334","0.0-1.0-85.0","0","0","43013","","null","","","null","9","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","63","115854","0.0-1.0-86.0-0.0","0","0","43013","","519","","","68","9","","","1","9","training","adjacent","FE","6","5","P.jpg","L.jpg","0","0","1","",""
"","feedback","","html-keyboard-response","64","116856","0.0-1.0-87.0-0.0","0","0","43013","","null","","","null","9","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","65","117857","0.0-1.0-90.0","0","0","43013","","null","","","null","9","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","66","118109","0.0-1.0-92.0","0","0","43013","","null","","","null","10","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","67","118262","0.0-1.0-93.0","0","0","43013","","null","","","null","10","NaN","","","","","","","","","","","","","","",""
