"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","view_history","rt","responses","repeat_instructions","key_press","index","keypress_isi","keypress_S2","block","trial_num","phase","group_type","pair_type","S1_stim","S2_stim","S1_img","S2_img","S1_chosen","S1_higher","accuracy","keypress_iti","total_bonus_tally"
"true","full_screen","d04162023hr0629","fullscreen","0","32727","0.0-0.0","0","0","74888","","","","","","","","","","","","","","","","","","","","","",""
"","instructions","","instructions","1","94320","0.0-1.0-0.0-0.0","0","0","74888","[{""page_index"":0,""viewing_time"":13319},{""page_index"":1,""viewing_time"":35435},{""page_index"":2,""viewing_time"":9934},{""page_index"":3,""viewing_time"":2898}]","61587","","","","","","","","","","","","","","","","","","","",""
"","comprehension_check","","survey-multi-choice","2","127690","0.0-1.0-0.0-1.0","0","0","74888","","33364","{""Q0"":""True"",""Q1"":""D"",""Q2"":""Only when the screen 'MAKE A CHOICE' is shown"",""Q3"":""Green mark"",""Q4"":""either D or K""}","1","","","","","","","","","","","","","","","","","",""
"","missed_instruction_checkup","","html-keyboard-response","3","130742","0.0-1.0-0.0-2.0-0.0","0","1","74888","","3047","","","32","","","","","","","","","","","","","","","","",""
"","instructions","","instructions","4","162028","0.0-1.0-0.1-0.1","0","0","74888","[{""page_index"":0,""viewing_time"":6262},{""page_index"":1,""viewing_time"":18091},{""page_index"":2,""viewing_time"":4924},{""page_index"":3,""viewing_time"":2005}]","31282","","","","","","","","","","","","","","","","","","","",""
"","comprehension_check","","survey-multi-choice","5","189323","0.0-1.0-0.1-1.1","0","0","74888","","27290","{""Q0"":""True"",""Q1"":""D"",""Q2"":""Once the second image appears and while the screen 'MAKE A CHOICE' is shown"",""Q3"":""Green mark"",""Q4"":""either D or K""}","0","","","","","","","","","","","","","","","","","",""
"","start_exp","","html-keyboard-response","6","192677","0.0-1.0-1.0","0","0","74888","","3349","","","32","","","","","","","","","","","","","","","","",""
"","S1","","html-keyboard-response","7","192934","0.0-1.0-2.0","0","0","74888","","null","","","null","0","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","8","193937","0.0-1.0-3.0","0","0","74888","","null","","","null","0","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","9","194191","0.0-1.0-4.0","0","0","74888","","null","","","null","0","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","10","195946","0.0-1.0-5.0-0.0","0","0","74888","","null","","","null","0","","","1","0","training","adjacent","AB","1","2","R.jpg","N.jpg","NaN","1","0","",""
"","too_slow_prompt","","html-keyboard-response","11","196950","0.0-1.0-7.0-0.0","1","0","74888","","null","","","null","","","","","","","","","","","","","","","","",""
"","time_out","","html-keyboard-response","12","198956","0.0-1.0-8.0-0.0","0","0","74888","","null","","","null","0","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","13","199960","0.0-1.0-9.0","0","0","74888","","338","","","75","0","","","","","","","","","","","","","","","k",""
"","S1","","html-keyboard-response","14","200216","0.0-1.0-11.0","0","0","74888","","null","","","null","1","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","15","201221","0.0-1.0-12.0","0","0","74888","","null","","","null","1","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","16","201475","0.0-1.0-13.0","0","0","74888","","null","","","null","1","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","17","201941","0.0-1.0-14.0-0.0","0","0","74888","","462","","","68","1","","","1","1","training","adjacent","ED","5","4","O.jpg","L.jpg","1","0","0","",""
"","feedback","","html-keyboard-response","18","202946","0.0-1.0-15.0-0.0","0","0","74888","","null","","","null","1","","","","","","","","","","","","","","","",""
"","time_out","","html-keyboard-response","19","204950","0.0-1.0-17.0-0.0","0","0","74888","","null","","","null","1","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","20","205953","0.0-1.0-18.0","0","0","74888","","null","","","null","1","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","21","206207","0.0-1.0-20.0","0","0","74888","","null","","","null","2","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","22","207211","0.0-1.0-21.0","0","0","74888","","null","","","null","2","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","23","207453","0.0-1.0-22.0","0","0","74888","","239","","","68","2","","d","1","2","training","adjacent","DE","4","5","L.jpg","O.jpg","1","1","1","",""
"","feedback","","html-keyboard-response","24","208458","0.0-1.0-24.0-0.0","0","0","74888","","null","","","null","2","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","25","209467","0.0-1.0-27.0","0","0","74888","","null","","","null","2","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","26","209721","0.0-1.0-29.0","0","0","74888","","null","","","null","3","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","27","210725","0.0-1.0-30.0","0","0","74888","","null","","","null","3","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","28","210979","0.0-1.0-31.0","0","0","74888","","null","","","null","3","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","29","211069","0.0-1.0-32.0-0.0","0","0","74888","","86","","","75","3","","","1","3","training","adjacent","CB","3","2","P.jpg","N.jpg","0","0","1","",""
"","feedback","","html-keyboard-response","30","212073","0.0-1.0-33.0-0.0","0","0","74888","","null","","","null","3","","","","","","","","","","","","","","","",""
