"success","category","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","view_history","rt","ttype","responses","repeat_instructions","key_press","index","keypress_S2","block","trial_num","phase","pair_type","S1_stim","S2_stim","S1_img","S2_img","S1_chosen","S1_higher","accuracy","keypress_iti","keypress_isi","total_bonus_tally"
"","","","html-keyboard-response","167","58611","0.0-1.0-220.0","0","0","71923","","null","S2","","","null","24","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","168","58735","0.0-1.0-221.0","0","0","71923","","123","response","","","75","24","","4","24","test","non_adjacent","4","2","Q.jpg","R.jpg","1","0","0","","",""
"","","","html-keyboard-response","169","58840","0.0-1.0-222.0-0.0","0","0","71923","","null","feedback","","","null","24","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","170","58943","0.0-1.0-224.0-0.0","0","0","71923","","null","time_out","","","null","24","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","171","59446","0.0-1.0-225.0","0","0","71923","","128","ITI","","","75","24","","","","","","","","","","","","","k","",""
"","","","html-keyboard-response","172","59700","0.0-1.0-227.0","0","0","71923","","null","S1","","","null","25","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","173","59805","0.0-1.0-228.0","0","0","71923","","null","ISI","","","null","25","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","174","60056","0.0-1.0-229.0","0","0","71923","","null","S2","","","null","25","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","175","60558","0.0-1.0-230.0","0","0","71923","","null","response","","","null","25","","4","25","test","adjacent","2","3","R.jpg","P.jpg","NaN","1","0","","",""
"","","","html-keyboard-response","176","61561","0.0-1.0-232.0-0.0","1","0","71923","","null","too_slow_prompt","","","null","","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","177","61665","0.0-1.0-233.0-0.0","0","0","71923","","null","time_out","","","null","25","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","178","62167","0.0-1.0-234.0","0","0","71923","","null","ITI","","","null","25","","","","","","","","","","","","","","",""
