"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","view_history","rt","responses","repeat_instructions","key_press","index","keypress_isi","keypress_S2","block","trial_num","phase","group_type","pair_type","S1_stim","S2_stim","S1_img","S2_img","S1_chosen","S1_higher","accuracy","keypress_iti","total_bonus_tally"
"true","full_screen","d04132023hr1419","fullscreen","0","7875","0.0-0.0","0","0","41122","","","","","","","","","","","","","","","","","","","","","",""
"","instructions","","instructions","1","46699","0.0-1.0-0.0-0.0","0","0","41122","[{""page_index"":0,""viewing_time"":10011},{""page_index"":1,""viewing_time"":11418},{""page_index"":2,""viewing_time"":13242},{""page_index"":3,""viewing_time"":4148}]","38819","","","","","","","","","","","","","","","","","","","",""
"","comprehension_check","","survey-multi-choice","2","71291","0.0-1.0-0.0-1.0","0","0","41122","","24583","{""Q0"":""True"",""Q1"":""D"",""Q2"":""Once the second image appears and while the screen 'MAKE A CHOICE' is shown"",""Q3"":""Green mark"",""Q4"":""either D or K""}","0","","","","","","","","","","","","","","","","","",""
"","start_exp","","html-keyboard-response","3","73714","0.0-1.0-1.0","0","0","41122","","2416","","","32","","","","","","","","","","","","","","","","",""
"","S1","","html-keyboard-response","4","73967","0.0-1.0-2.0","0","0","41122","","null","","","null","0","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","5","74970","0.0-1.0-3.0","0","0","41122","","642","","","75","0","k","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","6","75223","0.0-1.0-4.0","0","0","41122","","null","","","null","0","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","7","75707","0.0-1.0-5.0-0.0","0","0","41122","","481","","","68","0","","","1","0","training","adjacent","CB","3","2","R.jpg","O.jpg","1","0","0","",""
"","feedback","","html-keyboard-response","8","76710","0.0-1.0-6.0-0.0","0","0","41122","","null","","","null","0","","","","","","","","","","","","","","","",""
"","time_out","","html-keyboard-response","9","78714","0.0-1.0-8.0-0.0","0","0","41122","","null","","","null","0","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","10","79717","0.0-1.0-9.0","0","0","41122","","null","","","null","0","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","11","79969","0.0-1.0-11.0","0","0","41122","","null","","","null","1","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","12","80972","0.0-1.0-12.0","0","0","41122","","928","","","75","1","k","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","13","81226","0.0-1.0-13.0","0","0","41122","","null","","","null","1","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","14","81995","0.0-1.0-14.0-0.0","0","0","41122","","765","","","75","1","","","1","1","training","adjacent","CB","3","2","R.jpg","O.jpg","0","0","1","",""
"","feedback","","html-keyboard-response","15","82997","0.0-1.0-15.0-0.0","0","0","41122","","null","","","null","1","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","16","84000","0.0-1.0-18.0","0","0","41122","","null","","","null","1","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","17","84253","0.0-1.0-20.0","0","0","41122","","null","","","null","2","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","18","85256","0.0-1.0-21.0","0","0","41122","","null","","","null","2","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","19","85509","0.0-1.0-22.0","0","0","41122","","null","","","null","2","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","20","85709","0.0-1.0-23.0-0.0","0","0","41122","","197","","","75","2","","","1","2","training","adjacent","CD","3","4","R.jpg","Q.jpg","0","1","0","",""
"","feedback","","html-keyboard-response","21","86711","0.0-1.0-24.0-0.0","0","0","41122","","null","","","null","2","","","","","","","","","","","","","","","",""
"","time_out","","html-keyboard-response","22","88714","0.0-1.0-26.0-0.0","0","0","41122","","null","","","null","2","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","23","89718","0.0-1.0-27.0","0","0","41122","","null","","","null","2","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","24","89970","0.0-1.0-29.0","0","0","41122","","null","","","null","3","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","25","90972","0.0-1.0-30.0","0","0","41122","","null","","","null","3","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","26","91226","0.0-1.0-31.0","0","0","41122","","null","","","null","3","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","27","91410","0.0-1.0-32.0-0.0","0","0","41122","","182","","","75","3","","","1","3","training","adjacent","FG","6","7","N.jpg","P.jpg","0","1","0","",""
"","feedback","","html-keyboard-response","28","92413","0.0-1.0-33.0-0.0","0","0","41122","","null","","","null","3","","","","","","","","","","","","","","","",""
"","time_out","","html-keyboard-response","29","94416","0.0-1.0-35.0-0.0","0","0","41122","","null","","","null","3","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","30","95419","0.0-1.0-36.0","0","0","41122","","null","","","null","3","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","31","95674","0.0-1.0-38.0","0","0","41122","","null","","","null","4","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","32","96677","0.0-1.0-39.0","0","0","41122","","null","","","null","4","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","33","96931","0.0-1.0-40.0","0","0","41122","","null","","","null","4","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","34","97037","0.0-1.0-41.0-0.0","0","0","41122","","103","","","68","4","","","1","4","training","adjacent","DC","4","3","Q.jpg","R.jpg","1","0","0","",""
"","feedback","","html-keyboard-response","35","98040","0.0-1.0-42.0-0.0","0","0","41122","","null","","","null","4","","","","","","","","","","","","","","","",""
"","time_out","","html-keyboard-response","36","100042","0.0-1.0-44.0-0.0","0","0","41122","","null","","","null","4","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","37","101045","0.0-1.0-45.0","0","0","41122","","null","","","null","4","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","38","101298","0.0-1.0-47.0","0","0","41122","","null","","","null","5","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","39","102300","0.0-1.0-48.0","0","0","41122","","null","","","null","5","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","40","102554","0.0-1.0-49.0","0","0","41122","","null","","","null","5","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","41","102819","0.0-1.0-50.0-0.0","0","0","41122","","262","","","68","5","","","1","5","training","adjacent","ED","5","4","M.jpg","Q.jpg","1","0","0","",""
"","feedback","","html-keyboard-response","42","103823","0.0-1.0-51.0-0.0","0","0","41122","","null","","","null","5","","","","","","","","","","","","","","","",""
"","time_out","","html-keyboard-response","43","105825","0.0-1.0-53.0-0.0","0","0","41122","","null","","","null","5","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","44","106828","0.0-1.0-54.0","0","0","41122","","null","","","null","5","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","45","107081","0.0-1.0-56.0","0","0","41122","","null","","","null","6","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","46","108084","0.0-1.0-57.0","0","0","41122","","194","","","75","6","k","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","47","108337","0.0-1.0-58.0","0","0","41122","","null","","","null","6","","NaN","","","","","","","","","","","","","",""
