"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","view_history","rt","responses","repeat_instructions","key_press","index","keypress_isi","keypress_S2","block","trial_num","phase","group_type","pair_type","S1_stim","S2_stim","S1_img","S2_img","S1_chosen","S1_higher","accuracy","keypress_iti","total_bonus_tally"
"true","full_screen","d07282022hr1807","fullscreen","0","8568","0.0-0.0","0","0","76981","","","","","","","","","","","","","","","","","","","","","",""
"","instructions","","instructions","1","72348","0.0-1.0-0.0-0.0","0","0","76981","[{""page_index"":0,""viewing_time"":4148},{""page_index"":1,""viewing_time"":50225},{""page_index"":2,""viewing_time"":7130},{""page_index"":3,""viewing_time"":2273}]","63778","","","","","","","","","","","","","","","","","","","",""
"","comprehension_check","","survey-multi-choice","2","103525","0.0-1.0-0.0-1.0","0","0","76981","","31172","{""Q0"":""True"",""Q1"":""True"",""Q2"":""When you see the prompt 'MAKE A CHOICE' after the second image was presented"",""Q3"":""Green mark"",""Q4"":""either D or K""}","0","","","","","","","","","","","","","","","","","",""
"","start_exp","","html-keyboard-response","3","105403","0.0-1.0-1.0","0","0","76981","","1874","","","32","","","","","","","","","","","","","","","","",""
"","S1","","html-keyboard-response","4","105656","0.0-1.0-2.0","0","0","76981","","null","","","null","0","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","5","107658","0.0-1.0-3.0","0","0","76981","","null","","","null","0","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","6","107911","0.0-1.0-4.0","0","0","76981","","null","","","null","0","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","7","108523","0.0-1.0-5.0","0","0","76981","","610","","","68","0","","","1","0","training","adjacent","AB","1","2","M.jpg","R.jpg","0","1","0","",""
"","feedback","","html-keyboard-response","8","109526","0.0-1.0-6.0-0.0","0","0","76981","","null","","","null","0","","","","","","","","","","","","","","","",""
"","time_out","","html-keyboard-response","9","111529","0.0-1.0-8.0-0.0","0","0","76981","","null","","","null","0","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","10","112531","0.0-1.0-9.0","0","0","76981","","null","","","null","0","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","11","112784","0.0-1.0-11.0","0","0","76981","","null","","","null","1","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","12","114786","0.0-1.0-12.0","0","0","76981","","null","","","null","1","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","13","115039","0.0-1.0-13.0","0","0","76981","","null","","","null","1","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","14","115512","0.0-1.0-14.0","0","0","76981","","471","","","75","1","","","1","1","training","adjacent","DC","4","3","P.jpg","L.jpg","1","0","0","",""
"","feedback","","html-keyboard-response","15","116515","0.0-1.0-15.0-0.0","0","0","76981","","null","","","null","1","","","","","","","","","","","","","","","",""
"","time_out","","html-keyboard-response","16","118516","0.0-1.0-17.0-0.0","0","0","76981","","null","","","null","1","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","17","119519","0.0-1.0-18.0","0","0","76981","","null","","","null","1","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","18","119771","0.0-1.0-20.0","0","0","76981","","null","","","null","2","","","","","","","","","","","","","","","",""
