"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","view_history","rt","responses","repeat_instructions","key_press","index","keypress_isi","keypress_S2","block","trial_num","phase","group_type","pair_type","S1_stim","S2_stim","S1_img","S2_img","S1_chosen","S1_higher","accuracy","keypress_iti","total_bonus_tally"
"true","full_screen","d08012022hr1401","fullscreen","0","5710","0.0-0.0","0","0","77842","","","","","","","","","","","","","","","","","","","","","",""
"","instructions","","instructions","1","29103","0.0-1.0-0.0-0.0","0","0","77842","[{""page_index"":0,""viewing_time"":2854},{""page_index"":1,""viewing_time"":11292},{""page_index"":2,""viewing_time"":7969},{""page_index"":3,""viewing_time"":1274}]","23390","","","","","","","","","","","","","","","","","","","",""
"","comprehension_check","","survey-multi-choice","2","43017","0.0-1.0-0.0-1.0","0","0","77842","","13909","{""Q0"":""True"",""Q1"":""D"",""Q2"":""When you see the prompt 'MAKE A CHOICE' after the second image was presented"",""Q3"":""Green mark"",""Q4"":""either D or K""}","0","","","","","","","","","","","","","","","","","",""
"","start_exp","","html-keyboard-response","3","43986","0.0-1.0-1.0","0","0","77842","","965","","","32","","","","","","","","","","","","","","","","",""
"","S1","","html-keyboard-response","4","44240","0.0-1.0-2.0","0","0","77842","","null","","","null","0","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","5","46244","0.0-1.0-3.0","0","0","77842","","null","","","null","0","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","6","46498","0.0-1.0-4.0","0","0","77842","","null","","","null","0","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","7","47291","0.0-1.0-5.0","0","0","77842","","790","","","75","0","","","1","0","training","adjacent","ED","5","4","Q.jpg","P.jpg","0","0","1","",""
"","feedback","","html-keyboard-response","8","48296","0.0-1.0-6.0-0.0","0","0","77842","","null","","","null","0","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","9","49300","0.0-1.0-9.0","0","0","77842","","null","","","null","0","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","10","49553","0.0-1.0-11.0","0","0","77842","","null","","","null","1","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","11","51557","0.0-1.0-12.0","0","0","77842","","null","","","null","1","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","12","51810","0.0-1.0-13.0","0","0","77842","","null","","","null","1","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","13","52219","0.0-1.0-14.0","0","0","77842","","406","","","75","1","","","1","1","training","adjacent","CD","3","4","R.jpg","P.jpg","0","1","0","",""
"","feedback","","html-keyboard-response","14","53223","0.0-1.0-15.0-0.0","0","0","77842","","null","","","null","1","","","","","","","","","","","","","","","",""
