"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","view_history","rt","responses","repeat_instructions","key_press","index","keypress_isi","keypress_S2","block","trial_num","phase","group_type","pair_type","S1_stim","S2_stim","S1_img","S2_img","S1_chosen","S1_higher","accuracy","keypress_iti","total_bonus_tally"
"true","full_screen","d08012022hr1339","fullscreen","0","125735","0.0-0.0","0","0","92069","","","","","","","","","","","","","","","","","","","","","",""
"","instructions","","instructions","1","200731","0.0-1.0-0.0-0.0","0","0","92069","[{""page_index"":0,""viewing_time"":6311},{""page_index"":1,""viewing_time"":57747},{""page_index"":2,""viewing_time"":9074},{""page_index"":3,""viewing_time"":1861}]","74994","","","","","","","","","","","","","","","","","","","",""
"","comprehension_check","","survey-multi-choice","2","225386","0.0-1.0-0.0-1.0","0","0","92069","","24648","{""Q0"":""True"",""Q1"":""K"",""Q2"":""When you see the prompt 'MAKE A CHOICE' after the second image was presented"",""Q3"":""Green mark"",""Q4"":""either D or K""}","0","","","","","","","","","","","","","","","","","",""
"","start_exp","","html-keyboard-response","3","228428","0.0-1.0-1.0","0","0","92069","","3040","","","32","","","","","","","","","","","","","","","","",""
"","S1","","html-keyboard-response","4","228681","0.0-1.0-2.0","0","0","92069","","null","","","null","0","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","5","230686","0.0-1.0-3.0","0","0","92069","","685","","","75","0","k","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","6","230940","0.0-1.0-4.0","0","0","92069","","null","","","null","0","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","7","231791","0.0-1.0-5.0","0","0","92069","","849","","","68","0","","","1","0","training","adjacent","DE","4","5","N.jpg","O.jpg","0","1","0","",""
"","feedback","","html-keyboard-response","8","232794","0.0-1.0-6.0-0.0","0","0","92069","","null","","","null","0","","","","","","","","","","","","","","","",""
"","time_out","","html-keyboard-response","9","234796","0.0-1.0-8.0-0.0","0","0","92069","","null","","","null","0","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","10","235799","0.0-1.0-9.0","0","0","92069","","null","","","null","0","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","11","236053","0.0-1.0-11.0","0","0","92069","","null","","","null","1","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","12","238056","0.0-1.0-12.0","0","0","92069","","null","","","null","1","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","13","238310","0.0-1.0-13.0","0","0","92069","","null","","","null","1","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","14","238878","0.0-1.0-14.0","0","0","92069","","566","","","75","1","","","1","1","training","adjacent","EF","5","6","O.jpg","R.jpg","1","1","1","",""
"","feedback","","html-keyboard-response","15","239881","0.0-1.0-15.0-0.0","0","0","92069","","null","","","null","1","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","16","240883","0.0-1.0-18.0","0","0","92069","","null","","","null","1","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","17","241136","0.0-1.0-20.0","0","0","92069","","null","","","null","2","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","18","243140","0.0-1.0-21.0","0","0","92069","","null","","","null","2","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","19","243393","0.0-1.0-22.0","0","0","92069","","null","","","null","2","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","20","244021","0.0-1.0-23.0","0","0","92069","","627","","","75","2","","","1","2","training","adjacent","BA","2","1","P.jpg","M.jpg","1","0","0","",""
"","feedback","","html-keyboard-response","21","245024","0.0-1.0-24.0-0.0","0","0","92069","","null","","","null","2","","","","","","","","","","","","","","","",""
"","time_out","","html-keyboard-response","22","247027","0.0-1.0-26.0-0.0","0","0","92069","","null","","","null","2","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","23","248028","0.0-1.0-27.0","0","0","92069","","null","","","null","2","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","24","248280","0.0-1.0-29.0","0","0","92069","","null","","","null","3","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","25","250284","0.0-1.0-30.0","0","0","92069","","null","","","null","3","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","26","250537","0.0-1.0-31.0","0","0","92069","","null","","","null","3","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","27","251239","0.0-1.0-32.0","0","0","92069","","699","","","75","3","","","1","3","training","adjacent","BC","2","3","P.jpg","L.jpg","1","1","1","",""
"","feedback","","html-keyboard-response","28","252241","0.0-1.0-33.0-0.0","0","0","92069","","null","","","null","3","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","29","253245","0.0-1.0-36.0","0","0","92069","","null","","","null","3","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","30","253498","0.0-1.0-38.0","0","0","92069","","null","","","null","4","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","31","255503","0.0-1.0-39.0","0","0","92069","","null","","","null","4","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","32","255755","0.0-1.0-40.0","0","0","92069","","null","","","null","4","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","33","256399","0.0-1.0-41.0","0","0","92069","","642","","","68","4","","","1","4","training","adjacent","GF","7","6","Q.jpg","R.jpg","0","0","1","",""
"","feedback","","html-keyboard-response","34","257401","0.0-1.0-42.0-0.0","0","0","92069","","null","","","null","4","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","35","258404","0.0-1.0-45.0","0","0","92069","","null","","","null","4","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","36","258656","0.0-1.0-47.0","0","0","92069","","null","","","null","5","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","37","260659","0.0-1.0-48.0","0","0","92069","","null","","","null","5","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","38","260912","0.0-1.0-49.0","0","0","92069","","null","","","null","5","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","39","261332","0.0-1.0-50.0","0","0","92069","","419","","","68","5","","","1","5","training","adjacent","CD","3","4","L.jpg","N.jpg","0","1","0","",""
"","feedback","","html-keyboard-response","40","262337","0.0-1.0-51.0-0.0","0","0","92069","","null","","","null","5","","","","","","","","","","","","","","","",""
"","time_out","","html-keyboard-response","41","264340","0.0-1.0-53.0-0.0","0","0","92069","","null","","","null","5","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","42","265342","0.0-1.0-54.0","0","0","92069","","null","","","null","5","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","43","265594","0.0-1.0-56.0","0","0","92069","","null","","","null","6","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","44","267596","0.0-1.0-57.0","0","0","92069","","null","","","null","6","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","45","267849","0.0-1.0-58.0","0","0","92069","","null","","","null","6","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","46","268178","0.0-1.0-59.0","0","0","92069","","326","","","68","6","","","1","6","training","adjacent","AB","1","2","M.jpg","P.jpg","0","1","0","",""
"","feedback","","html-keyboard-response","47","269180","0.0-1.0-60.0-0.0","0","0","92069","","null","","","null","6","","","","","","","","","","","","","","","",""
"","time_out","","html-keyboard-response","48","271182","0.0-1.0-62.0-0.0","0","0","92069","","null","","","null","6","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","49","272185","0.0-1.0-63.0","0","0","92069","","null","","","null","6","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","50","272437","0.0-1.0-65.0","0","0","92069","","null","","","null","7","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","51","274439","0.0-1.0-66.0","0","0","92069","","null","","","null","7","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","52","274691","0.0-1.0-67.0","0","0","92069","","null","","","null","7","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","53","275104","0.0-1.0-68.0","0","0","92069","","411","","","68","7","","","1","7","training","adjacent","GF","7","6","Q.jpg","R.jpg","0","0","1","",""
"","feedback","","html-keyboard-response","54","276107","0.0-1.0-69.0-0.0","0","0","92069","","null","","","null","7","","","","","","","","","","","","","","","",""
