"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","view_history","rt","responses","repeat_instructions","key_press","index","keypress_isi","keypress_S2","block","trial_num","phase","group_type","pair_type","S1_stim","S2_stim","S1_img","S2_img","S1_chosen","S1_higher","accuracy","keypress_iti","total_bonus_tally"
"true","full_screen","d08012022hr1501","fullscreen","0","5431","0.0-0.0","0","0","92530","","","","","","","","","","","","","","","","","","","","","",""
"","instructions","","instructions","1","47344","0.0-1.0-0.0-0.0","0","0","92530","[{""page_index"":0,""viewing_time"":4216},{""page_index"":1,""viewing_time"":16762},{""page_index"":2,""viewing_time"":18536},{""page_index"":3,""viewing_time"":2396}]","41911","","","","","","","","","","","","","","","","","","","",""
"","comprehension_check","","survey-multi-choice","2","64720","0.0-1.0-0.0-1.0","0","0","92530","","17370","{""Q0"":""True"",""Q1"":""D"",""Q2"":""When you see the prompt 'MAKE A CHOICE' after the second image was presented"",""Q3"":""Green mark"",""Q4"":""either D or K""}","0","","","","","","","","","","","","","","","","","",""
"","start_exp","","html-keyboard-response","3","71569","0.0-1.0-1.0","0","0","92530","","6845","","","32","","","","","","","","","","","","","","","","",""
"","S1","","html-keyboard-response","4","71823","0.0-1.0-2.0","0","0","92530","","null","","","null","0","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","5","73825","0.0-1.0-3.0","0","0","92530","","null","","","null","0","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","6","74078","0.0-1.0-4.0","0","0","92530","","null","","","null","0","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","7","74881","0.0-1.0-5.0","0","0","92530","","800","","","68","0","","","1","0","training","adjacent","EF","5","6","P.jpg","R.jpg","1","1","1","",""
"","feedback","","html-keyboard-response","8","75909","0.0-1.0-6.0-0.0","0","0","92530","","null","","","null","0","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","9","76912","0.0-1.0-9.0","0","0","92530","","null","","","null","0","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","10","77165","0.0-1.0-11.0","0","0","92530","","null","","","null","1","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","11","79168","0.0-1.0-12.0","0","0","92530","","null","","","null","1","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","12","79421","0.0-1.0-13.0","0","0","92530","","null","","","null","1","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","13","79954","0.0-1.0-14.0","0","0","92530","","531","","","75","1","","","1","1","training","adjacent","GF","7","6","O.jpg","R.jpg","0","0","1","",""
"","feedback","","html-keyboard-response","14","80956","0.0-1.0-15.0-0.0","0","0","92530","","null","","","null","1","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","15","81959","0.0-1.0-18.0","0","0","92530","","null","","","null","1","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","16","82211","0.0-1.0-20.0","0","0","92530","","null","","","null","2","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","17","84214","0.0-1.0-21.0","0","0","92530","","null","","","null","2","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","18","84466","0.0-1.0-22.0","0","0","92530","","null","","","null","2","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","19","84938","0.0-1.0-23.0","0","0","92530","","470","","","75","2","","","1","2","training","adjacent","EF","5","6","P.jpg","R.jpg","0","1","0","",""
"","feedback","","html-keyboard-response","20","85941","0.0-1.0-24.0-0.0","0","0","92530","","null","","","null","2","","","","","","","","","","","","","","","",""
"","time_out","","html-keyboard-response","21","87946","0.0-1.0-26.0-0.0","0","0","92530","","null","","","null","2","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","22","88948","0.0-1.0-27.0","0","0","92530","","768","","","75","2","","","","","","","","","","","","","","","k",""
"","S1","","html-keyboard-response","23","89203","0.0-1.0-29.0","0","0","92530","","null","","","null","3","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","24","91205","0.0-1.0-30.0","0","0","92530","","null","","","null","3","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","25","91458","0.0-1.0-31.0","0","0","92530","","null","","","null","3","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","26","92057","0.0-1.0-32.0","0","0","92530","","598","","","68","3","","","1","3","training","adjacent","DE","4","5","N.jpg","P.jpg","1","1","1","",""
"","feedback","","html-keyboard-response","27","93059","0.0-1.0-33.0-0.0","0","0","92530","","null","","","null","3","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","28","94062","0.0-1.0-36.0","0","0","92530","","null","","","null","3","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","29","94321","0.0-1.0-38.0","0","0","92530","","null","","","null","4","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","30","96324","0.0-1.0-39.0","0","0","92530","","null","","","null","4","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","31","96578","0.0-1.0-40.0","0","0","92530","","null","","","null","4","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","32","97013","0.0-1.0-41.0","0","0","92530","","433","","","68","4","","","1","4","training","adjacent","DC","4","3","N.jpg","Q.jpg","1","0","0","",""
"","feedback","","html-keyboard-response","33","98014","0.0-1.0-42.0-0.0","0","0","92530","","null","","","null","4","","","","","","","","","","","","","","","",""
"","time_out","","html-keyboard-response","34","100018","0.0-1.0-44.0-0.0","0","0","92530","","null","","","null","4","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","35","101020","0.0-1.0-45.0","0","0","92530","","null","","","null","4","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","36","101273","0.0-1.0-47.0","0","0","92530","","null","","","null","5","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","37","103276","0.0-1.0-48.0","0","0","92530","","null","","","null","5","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","38","103529","0.0-1.0-49.0","0","0","92530","","null","","","null","5","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","39","103975","0.0-1.0-50.0","0","0","92530","","444","","","75","5","","","1","5","training","adjacent","ED","5","4","P.jpg","N.jpg","0","0","1","",""
"","feedback","","html-keyboard-response","40","104979","0.0-1.0-51.0-0.0","0","0","92530","","null","","","null","5","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","41","105981","0.0-1.0-54.0","0","0","92530","","null","","","null","5","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","42","106235","0.0-1.0-56.0","0","0","92530","","null","","","null","6","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","43","108238","0.0-1.0-57.0","0","0","92530","","null","","","null","6","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","44","108491","0.0-1.0-58.0","0","0","92530","","null","","","null","6","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","45","109092","0.0-1.0-59.0","0","0","92530","","599","","","68","6","","","1","6","training","adjacent","BC","2","3","M.jpg","Q.jpg","1","1","1","",""
"","feedback","","html-keyboard-response","46","110096","0.0-1.0-60.0-0.0","0","0","92530","","null","","","null","6","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","47","111099","0.0-1.0-63.0","0","0","92530","","null","","","null","6","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","48","111352","0.0-1.0-65.0","0","0","92530","","null","","","null","7","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","49","113355","0.0-1.0-66.0","0","0","92530","","null","","","null","7","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","50","113608","0.0-1.0-67.0","0","0","92530","","null","","","null","7","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","51","113926","0.0-1.0-68.0","0","0","92530","","316","","","75","7","","","1","7","training","adjacent","EF","5","6","P.jpg","R.jpg","0","1","0","",""
"","feedback","","html-keyboard-response","52","114928","0.0-1.0-69.0-0.0","0","0","92530","","null","","","null","7","","","","","","","","","","","","","","","",""
"","time_out","","html-keyboard-response","53","116931","0.0-1.0-71.0-0.0","0","0","92530","","null","","","null","7","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","54","117937","0.0-1.0-72.0","0","0","92530","","null","","","null","7","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","55","118191","0.0-1.0-74.0","0","0","92530","","null","","","null","8","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","56","120193","0.0-1.0-75.0","0","0","92530","","null","","","null","8","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","57","120446","0.0-1.0-76.0","0","0","92530","","null","","","null","8","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","58","120764","0.0-1.0-77.0","0","0","92530","","316","","","75","8","","","1","8","training","adjacent","CD","3","4","Q.jpg","N.jpg","0","1","0","",""
"","feedback","","html-keyboard-response","59","121768","0.0-1.0-78.0-0.0","0","0","92530","","null","","","null","8","","","","","","","","","","","","","","","",""
"","time_out","","html-keyboard-response","60","123771","0.0-1.0-80.0-0.0","0","0","92530","","null","","","null","8","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","61","124774","0.0-1.0-81.0","0","0","92530","","null","","","null","8","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","62","125026","0.0-1.0-83.0","0","0","92530","","null","","","null","9","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","63","127029","0.0-1.0-84.0","0","0","92530","","null","","","null","9","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","64","127281","0.0-1.0-85.0","0","0","92530","","null","","","null","9","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","65","127581","0.0-1.0-86.0","0","0","92530","","299","","","75","9","","","1","9","training","adjacent","ED","5","4","P.jpg","N.jpg","0","0","1","",""
"","feedback","","html-keyboard-response","66","128584","0.0-1.0-87.0-0.0","0","0","92530","","null","","","null","9","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","67","129586","0.0-1.0-90.0","0","0","92530","","null","","","null","9","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","68","129841","0.0-1.0-92.0","0","0","92530","","null","","","null","10","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","69","131843","0.0-1.0-93.0","0","0","92530","","null","","","null","10","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","70","132096","0.0-1.0-94.0","0","0","92530","","null","","","null","10","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","71","132478","0.0-1.0-95.0","0","0","92530","","380","","","68","10","","","1","10","training","adjacent","FG","6","7","R.jpg","O.jpg","1","1","1","",""
"","feedback","","html-keyboard-response","72","133480","0.0-1.0-96.0-0.0","0","0","92530","","null","","","null","10","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","73","134483","0.0-1.0-99.0","0","0","92530","","null","","","null","10","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","74","134736","0.0-1.0-101.0","0","0","92530","","null","","","null","11","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","75","136739","0.0-1.0-102.0","0","0","92530","","null","","","null","11","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","76","137012","0.0-1.0-103.0","0","0","92530","","null","","","null","11","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","77","137340","0.0-1.0-104.0","0","0","92530","","327","","","75","11","","","1","11","training","adjacent","FE","6","5","R.jpg","P.jpg","0","0","1","",""
"","feedback","","html-keyboard-response","78","138343","0.0-1.0-105.0-0.0","0","0","92530","","null","","","null","11","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","79","139346","0.0-1.0-108.0","0","0","92530","","null","","","null","11","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","80","139599","0.0-1.0-110.0","0","0","92530","","null","","","null","12","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","81","141601","0.0-1.0-111.0","0","0","92530","","null","","","null","12","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","82","141869","0.0-1.0-112.0","0","0","92530","","null","","","null","12","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","83","142212","0.0-1.0-113.0","0","0","92530","","340","","","75","12","","","1","12","training","adjacent","EF","5","6","P.jpg","R.jpg","0","1","0","",""
"","feedback","","html-keyboard-response","84","143215","0.0-1.0-114.0-0.0","0","0","92530","","null","","","null","12","","","","","","","","","","","","","","","",""
"","time_out","","html-keyboard-response","85","145217","0.0-1.0-116.0-0.0","0","0","92530","","null","","","null","12","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","86","146220","0.0-1.0-117.0","0","0","92530","","null","","","null","12","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","87","146473","0.0-1.0-119.0","0","0","92530","","null","","","null","13","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","88","148475","0.0-1.0-120.0","0","0","92530","","null","","","null","13","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","89","148727","0.0-1.0-121.0","0","0","92530","","null","","","null","13","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","90","148886","0.0-1.0-122.0","0","0","92530","","157","","","68","13","","","1","13","training","adjacent","BC","2","3","M.jpg","Q.jpg","1","1","1","",""
"","feedback","","html-keyboard-response","91","149890","0.0-1.0-123.0-0.0","0","0","92530","","null","","","null","13","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","92","150894","0.0-1.0-126.0","0","0","92530","","null","","","null","13","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","93","151146","0.0-1.0-128.0","0","0","92530","","null","","","null","14","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","94","153149","0.0-1.0-129.0","0","0","92530","","null","","","null","14","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","95","153401","0.0-1.0-130.0","0","0","92530","","null","","","null","14","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","96","153845","0.0-1.0-131.0","0","0","92530","","442","","","68","14","","","1","14","training","adjacent","BA","2","1","M.jpg","L.jpg","1","0","0","",""
"","feedback","","html-keyboard-response","97","154847","0.0-1.0-132.0-0.0","0","0","92530","","null","","","null","14","","","","","","","","","","","","","","","",""
"","time_out","","html-keyboard-response","98","156853","0.0-1.0-134.0-0.0","0","0","92530","","null","","","null","14","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","99","157862","0.0-1.0-135.0","0","0","92530","","null","","","null","14","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","100","158115","0.0-1.0-137.0","0","0","92530","","null","","","null","15","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","101","160117","0.0-1.0-138.0","0","0","92530","","null","","","null","15","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","102","160385","0.0-1.0-139.0","0","0","92530","","null","","","null","15","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","103","160910","0.0-1.0-140.0","0","0","92530","","524","","","75","15","","","1","15","training","adjacent","DC","4","3","N.jpg","Q.jpg","0","0","1","",""
"","feedback","","html-keyboard-response","104","161913","0.0-1.0-141.0-0.0","0","0","92530","","null","","","null","15","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","105","162916","0.0-1.0-144.0","0","0","92530","","null","","","null","15","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","106","163168","0.0-1.0-146.0","0","0","92530","","null","","","null","16","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","107","165170","0.0-1.0-147.0","0","0","92530","","null","","","null","16","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","108","165423","0.0-1.0-148.0","0","0","92530","","null","","","null","16","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","109","165563","0.0-1.0-149.0","0","0","92530","","138","","","68","16","","","1","16","training","adjacent","DE","4","5","N.jpg","P.jpg","1","1","1","",""
"","feedback","","html-keyboard-response","110","166565","0.0-1.0-150.0-0.0","0","0","92530","","null","","","null","16","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","111","167568","0.0-1.0-153.0","0","0","92530","","null","","","null","16","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","112","167821","0.0-1.0-155.0","0","0","92530","","null","","","null","17","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","113","169823","0.0-1.0-156.0","0","0","92530","","null","","","null","17","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","114","170076","0.0-1.0-157.0","0","0","92530","","null","","","null","17","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","115","170418","0.0-1.0-158.0","0","0","92530","","340","","","68","17","","","1","17","training","adjacent","DE","4","5","N.jpg","P.jpg","1","1","1","",""
"","feedback","","html-keyboard-response","116","171421","0.0-1.0-159.0-0.0","0","0","92530","","null","","","null","17","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","117","172425","0.0-1.0-162.0","0","0","92530","","null","","","null","17","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","118","172677","0.0-1.0-164.0","0","0","92530","","null","","","null","18","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","119","174680","0.0-1.0-165.0","0","0","92530","","null","","","null","18","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","120","174934","0.0-1.0-166.0","0","0","92530","","null","","","null","18","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","121","175204","0.0-1.0-167.0","0","0","92530","","269","","","75","18","","","1","18","training","adjacent","CB","3","2","Q.jpg","M.jpg","0","0","1","",""
"","feedback","","html-keyboard-response","122","176207","0.0-1.0-168.0-0.0","0","0","92530","","null","","","null","18","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","123","177210","0.0-1.0-171.0","0","0","92530","","null","","","null","18","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","124","177465","0.0-1.0-173.0","0","0","92530","","null","","","null","19","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","125","179467","0.0-1.0-174.0","0","0","92530","","null","","","null","19","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","126","179721","0.0-1.0-175.0","0","0","92530","","null","","","null","19","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","127","180062","0.0-1.0-176.0","0","0","92530","","339","","","68","19","","","1","19","training","adjacent","FG","6","7","R.jpg","O.jpg","1","1","1","",""
"","feedback","","html-keyboard-response","128","181064","0.0-1.0-177.0-0.0","0","0","92530","","null","","","null","19","","","","","","","","","","","","","","","",""
"","ITI","","html-keyboard-response","129","182066","0.0-1.0-180.0","0","0","92530","","null","","","null","19","","","","","","","","","","","","","","","NaN",""
"","S1","","html-keyboard-response","130","182318","0.0-1.0-182.0","0","0","92530","","null","","","null","20","","","","","","","","","","","","","","","",""
"","ISI","","html-keyboard-response","131","184321","0.0-1.0-183.0","0","0","92530","","null","","","null","20","NaN","","","","","","","","","","","","","","",""
"","S2","","html-keyboard-response","132","184574","0.0-1.0-184.0","0","0","92530","","null","","","null","20","","NaN","","","","","","","","","","","","","",""
"","response","","html-keyboard-response","133","185046","0.0-1.0-185.0","0","0","92530","","470","","","75","20","","","1","20","training","adjacent","CB","3","2","Q.jpg","M.jpg","0","0","1","",""
"","feedback","","html-keyboard-response","134","186049","0.0-1.0-186.0-0.0","0","0","92530","","null","","","null","20","","","","","","","","","","","","","","","",""
