trial,is_practice,block,is_old,pair_type,timing_jitter,timing_iti,within_category,high_cat_on_left,left_cat,right_cat,left_cat_value_group,right_cat_value_group,left_exemplar,right_exemplar,left_exemplar_value,right_exemplar_value,left_kind,right_kind,left_shape,right_shape,left_color,right_color,left_img_path,right_img_path,chosen_cat,unchosen_cat,chosen_value_group,unchosen_value_group,chosen_exemplar,unchosen_exemplar,chosen_exemplar_value,unchosen_exemplar_value
33,0,1,1,NaN,2500,2500,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
34,0,1,0,20-40,2500,2500,NaN,0,license plate,patio lounge chair,20,40,license plate8,patio lounge chair7,0,20,2.2,2.2,1,2.9,4.1,4.3,Stimuli/Experimental_stims/license plate/dc-vrw-jsw.jpg,Stimuli/Experimental_stims/patio lounge chair/lg_Serenity_Riviera[1].jpg,,,,,,,,
35,0,1,0,20-40,2500,2500,NaN,1,trumpet,frame,40,20,trumpet11,frame7,60,0,2.3,2.2,2.5,3.4,2.5,2.6,Stimuli/Experimental_stims/trumpet/JUPITER+JTR604L.jpg,Stimuli/Experimental_stims/frame/AFRAME152.jpg,,,,,,,,
36,0,1,1,NaN,2500,2500,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
37,0,1,0,60-80,2500,2500,NaN,0,flashlight,bike,60,80,flashlight13,bike10,60,100,2,2.3,2.7,2.2,3.4,2.3,Stimuli/Experimental_stims/flashlight/834808_sk_lg.jpg,Stimuli/Experimental_stims/bike/3_1.jpg,,,,,,,,
38,0,1,0,60-60,2500,2500,NaN,NaN,vase,watch,60,60,vase9,watch3,80,80,2.3,2.2,4,2.1,4.7,2.5,Stimuli/Experimental_stims/vase/Avasewithang2.jpg,Stimuli/Experimental_stims/watch/B0000TIIVO.01._SCLZZZZZZZ_V1124920780_.jpg,,,,,,,,
39,0,1,0,40-40,2500,2500,NaN,NaN,telescope,sofa,40,40,telescope10,sofa15,40,60,2.1,2.2,3.3,3.1,2,4.6,Stimuli/Experimental_stims/telescope/digimarc.ms02.jpg,Stimuli/Experimental_stims/sofa/APEACHLOV.jpg,,,,,,,,
40,0,1,1,NaN,2500,2500,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
41,0,1,0,20-80,2500,2500,NaN,1,baby carriage,bowl,80,20,baby carriage8,bowl15,80,0,2.2,2.2,3.9,2.9,4.3,4.5,Stimuli/Experimental_stims/baby carriage/peg_perego_uno_revi_black.jpg,Stimuli/Experimental_stims/bowl/Awhitebowl2.jpg,,,,,,,,
42,0,1,0,20-60,2500,2500,NaN,0,frame,vase,20,60,frame1,vase5,20,80,2.2,2.3,3.4,4,2.6,4.7,Stimuli/Experimental_stims/frame/AFRAME127.jpg,Stimuli/Experimental_stims/vase/Avase176.jpg,,,,,,,,
43,0,1,0,40-40,2500,2500,NaN,NaN,power strip,tent,40,40,power strip4,tent9,40,20,2.2,2.2,4,2.8,2.5,4.5,Stimuli/Experimental_stims/power strip/41D3CX96H9L._AA262_.jpg,Stimuli/Experimental_stims/tent/Red Canyon Tent.jpg,,,,,,,,
44,0,1,0,60-60,2500,2500,NaN,NaN,key chain,vase,60,60,key chain15,vase7,60,40,2.2,2.3,4.5,4,4.4,4.7,Stimuli/Experimental_stims/key chain/Soft_PVC_Keychain.jpg,Stimuli/Experimental_stims/vase/8246344.thl.jpg,,,,,,,,
45,0,1,0,20-80,2500,2500,NaN,1,bike,frame,80,20,bike11,frame9,60,20,2.3,2.2,2.2,3.4,2.3,2.6,Stimuli/Experimental_stims/bike/racing-bike-13564229161.jpg,Stimuli/Experimental_stims/frame/AFRAME188.jpg,,,,,,,,
46,0,1,0,40-80,2500,2500,NaN,0,tent,makeup compact,40,80,tent4,makeup compact3,40,60,2.2,2.3,2.8,2.5,4.5,3.3,Stimuli/Experimental_stims/tent/Atent12.jpg,Stimuli/Experimental_stims/makeup compact/P181006_hero.jpg,,,,,,,,
47,0,1,0,20-80,2500,2500,NaN,1,train,necklace,80,20,train4,necklace14,80,40,2.1,2.2,4.1,3.6,4.5,3.9,Stimuli/Experimental_stims/train/After-RHS-2-web.jpg,Stimuli/Experimental_stims/necklace/necklascenew05.jpg,,,,,,,,
48,0,1,1,NaN,2500,2500,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
49,0,1,0,40-40,2500,2500,NaN,NaN,tent,hand bag,40,40,tent1,hand bag1,40,40,2.2,2.3,2.8,3.9,4.5,4.5,Stimuli/Experimental_stims/tent/Atent8.jpg,Stimuli/Experimental_stims/hand bag/purses.jpg,,,,,,,,
50,0,1,1,NaN,2500,2500,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
51,0,1,0,80-80,2500,2500,NaN,NaN,makeup compact,seashell,80,80,makeup compact13,seashell5,100,60,2.3,2.2,2.5,4.5,3.3,2.4,Stimuli/Experimental_stims/makeup compact/31YfapjS3TL._AA250_.jpg,Stimuli/Experimental_stims/seashell/429345994_b87bb03366.jpg,,,,,,,,
52,0,1,0,60-60,2500,2500,NaN,NaN,door knob,lipstick,60,60,door knob1,lipstick8,60,80,2.1,2.1,4,2.4,2.9,3.6,Stimuli/Experimental_stims/door knob/Brass_Door_Handle.jpg,Stimuli/Experimental_stims/lipstick/P174215_hero.jpg,,,,,,,,
53,0,1,1,NaN,2500,2500,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
54,0,1,1,NaN,2500,2500,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
55,0,1,1,NaN,2500,2500,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
56,0,1,0,20-20,2500,2500,NaN,NaN,necklace,stool,20,20,necklace5,stool5,0,20,2.2,2.2,3.6,3.8,3.9,4.2,Stimuli/Experimental_stims/necklace/necklascenew08.jpg,Stimuli/Experimental_stims/stool/ASTOOL23.jpg,,,,,,,,
57,0,1,0,20-40,2500,2500,NaN,0,hat,sofa,20,40,hat12,sofa4,0,20,2.3,2.2,2.4,3.1,4.7,4.6,Stimuli/Experimental_stims/hat/Aformalhat5.jpg,Stimuli/Experimental_stims/sofa/ALOVSEA15.jpg,,,,,,,,
58,0,1,1,NaN,2500,2500,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
59,0,1,0,20-40,2500,2500,NaN,0,license plate,microscope,20,40,license plate2,microscope6,20,60,2.2,2.2,1,3.5,4.1,2.5,Stimuli/Experimental_stims/license plate/ny-u93-8zs.jpg,Stimuli/Experimental_stims/microscope/AMICROS25.jpg,,,,,,,,
60,0,2,0,80-80,2500,2500,NaN,NaN,makeup compact,hammer,80,80,makeup compact9,hammer11,100,80,2.3,2,2.5,2.3,3.3,2.5,Stimuli/Experimental_stims/makeup compact/b_102019.jpg,Stimuli/Experimental_stims/hammer/8oz-hammer-copy.jpg,,,,,,,,
61,0,2,0,40-80,2500,2500,NaN,0,power strip,nail polish,40,80,power strip15,nail polish12,40,100,2.2,2,4,2.1,2.5,4.9,Stimuli/Experimental_stims/power strip/31oz6aGZN7L._AA262_.jpg,Stimuli/Experimental_stims/nail polish/laquerdUP.jpg,,,,,,,,
62,0,2,0,20-60,2500,2500,NaN,0,pen,fan,20,60,pen4,fan6,40,40,2.2,2.3,2,3.1,3.9,2,Stimuli/Experimental_stims/pen/Montblanc_Greta_Garbo_BP copy.jpg,Stimuli/Experimental_stims/fan/30090.fpx.jpg,,,,,,,,
63,0,2,0,20-40,2500,2500,NaN,1,power strip,license plate,40,20,power strip3,license plate10,60,40,2.2,2.2,4,1,2.5,4.1,Stimuli/Experimental_stims/power strip/67a59858-df1d-43a9-a833-cfeaca77ade9_400.jpg,Stimuli/Experimental_stims/license plate/pa-nfn-011.jpg,,,,,,,,
64,0,2,0,20-60,2500,2500,NaN,0,poker card,fan,20,60,poker card2,fan4,0,60,2.2,2.3,1,3.1,2.7,2,Stimuli/Experimental_stims/poker card/22864716.thl.jpg,Stimuli/Experimental_stims/fan/AFAN39.jpg,,,,,,,,
65,0,2,0,40-80,2500,2500,NaN,1,train,microscope,80,40,train11,microscope7,80,40,2.1,2.2,4.1,3.5,4.5,2.5,Stimuli/Experimental_stims/train/train1.jpg,Stimuli/Experimental_stims/microscope/microscope.jpg,,,,,,,,
66,0,2,0,40-40,2500,2500,NaN,NaN,telescope,trumpet,40,40,telescope8,trumpet13,60,40,2.1,2.3,3.3,2.5,2,2.5,Stimuli/Experimental_stims/telescope/p0006439g.jpg,Stimuli/Experimental_stims/trumpet/JUPITER+JTR1600GS.jpg,,,,,,,,
67,0,2,0,40-40,2500,2500,NaN,NaN,microscope,telescope,40,40,microscope3,telescope12,40,20,2.2,2.1,3.5,3.3,2.5,2,Stimuli/Experimental_stims/microscope/APDB.jpg,Stimuli/Experimental_stims/telescope/Junior Land and Sky Telescope.jpg,,,,,,,,
68,0,2,0,40-80,2500,2500,NaN,0,power strip,baby carriage,40,80,power strip10,baby carriage15,60,100,2.2,2.2,4,3.9,2.5,4.3,Stimuli/Experimental_stims/power strip/6bd437c9-6165-4d36-bf75-9a1038783c6a_400.jpg,Stimuli/Experimental_stims/baby carriage/AANBABYC2.jpg,,,,,,,,
69,0,2,0,40-40,2500,2500,NaN,NaN,telescope,microscope,40,40,telescope5,microscope5,40,40,2.1,2.2,3.3,3.5,2,2.5,Stimuli/Experimental_stims/telescope/digimarc.jpg,Stimuli/Experimental_stims/microscope/emMicroscope.jpg,,,,,,,,
