"event","trial","time","PID"
"focus","0","0","98165"
"fullscreenexit","0","6781","98165"
"fullscreenexit","1","22308","98165"
"blur","1","24099","98165"
"focus","1","319091","98165"
"blur","235","572015","98165"
"focus","239","573702","98165"
"blur","326","660830","98165"
"focus","326","673309","98165"
"blur","326","683380","98165"
"focus","326","693105","98165"
"blur","326","695370","98165"
"focus","326","706251","98165"
"blur","637","913510","98165"
"focus","637","929503","98165"
"blur","1392","1433174","98165"
"focus","1392","1435632","98165"
"blur","2351","2395764","98165"
"focus","2351","2401858","98165"
