"event","trial","time","PID"
"blur","0","70870","53264"
"focus","0","360472","53264"
"fullscreenenter","0","362041","53264"
"fullscreenexit","316","775315","53264"
"blur","316","777194","53264"
"focus","316","1072307","53264"
"blur","629","1317444","53264"
"focus","629","1321394","53264"
"blur","629","1355946","53264"
"focus","629","1401880","53264"
"blur","629","1404073","53264"
"focus","629","1969925","53264"
"blur","629","1973102","53264"
"focus","629","2150090","53264"
"blur","629","2154216","53264"
"focus","629","2188252","53264"
"blur","947","2447397","53264"
"focus","947","2514497","53264"
"blur","947","2668726","53264"
"focus","947","2781779","53264"
"blur","947","3060979","53264"
"focus","947","3259554","53264"
"blur","1477","3655166","53264"
"focus","1477","3771864","53264"
"blur","1738","3965956","53264"
"focus","1738","3970535","53264"
"blur","2000","4161892","53264"
"focus","2000","4169292","53264"
"blur","2000","4170884","53264"
"focus","2000","4448110","53264"
"blur","2259","4711605","53264"
"focus","2259","4859708","53264"
