"event","trial","time","PID"
"fullscreenenter","0","10053","20867"
"blur","4","100758","20867"
"focus","4","106489","20867"
"blur","4","106866","20867"
"focus","4","109686","20867"
"blur","4","109690","20867"
"focus","4","109727","20867"
"blur","4","109731","20867"
"focus","4","113372","20867"
"blur","4","117509","20867"
"focus","4","126825","20867"
"blur","5","138477","20867"
"focus","5","142747","20867"
"blur","5","149422","20867"
"focus","5","159594","20867"
"blur","356","499374","20867"
"focus","359","503725","20867"
"blur","537","637391","20867"
"focus","541","641445","20867"
"blur","1527","1525242","20867"
"focus","1527","1525243","20867"
"blur","1527","1525965","20867"
"focus","1529","1529219","20867"
"blur","1764","1711924","20867"
"focus","1772","1720871","20867"
"blur","1923","1847393","20867"
"focus","1923","1853091","20867"
"blur","1923","1856262","20867"
"focus","1923","1865420","20867"
