"event","trial","time","PID"
"fullscreenenter","0","5696","34599"
"fullscreenexit","274","352587","34599"
"blur","415","456994","34599"
"focus","417","460263","34599"
"blur","1290","1589464","34599"
"focus","1295","1594714","34599"
"blur","1302","1599601","34599"
"focus","1303","1600690","34599"
"blur","1318","1609038","34599"
"focus","1320","1612372","34599"
"blur","1323","1613240","34599"
"focus","1325","1616076","34599"
"blur","1329","1617643","34599"
"focus","1335","1622498","34599"
"blur","1336","1623409","34599"
"focus","1337","1625008","34599"
"blur","1416","1685603","34599"
"focus","1416","1976903","34599"
"blur","1416","1978432","34599"
"focus","1416","2126432","34599"
"blur","1416","2127502","34599"
"focus","1416","2281766","34599"
"blur","1425","2288609","34599"
"focus","1427","2289491","34599"
"blur","1428","2290658","34599"
"focus","1451","2328013","34599"
"blur","1456","2330777","34599"
"focus","1457","2331754","34599"
"blur","1462","2335403","34599"
"focus","1464","2337748","34599"
"blur","1467","2339057","34599"
"focus","1472","2344474","34599"
"blur","1473","2345524","34599"
"focus","1477","2349527","34599"
"blur","1480","2350968","34599"
"focus","1480","2351618","34599"
"blur","1499","2366447","34599"
"focus","1505","2376385","34599"
"blur","1506","2377719","34599"
"focus","1511","2383340","34599"
"blur","1512","2384144","34599"
"focus","1514","2387245","34599"
"blur","1519","2389960","34599"
"focus","1524","2397027","34599"
"blur","1532","2404576","34599"
"focus","1537","2409830","34599"
"blur","1538","2410992","34599"
"focus","1546","2421955","34599"
"blur","1550","2424241","34599"
"focus","1557","2434889","34599"
"blur","1563","2438620","34599"
"focus","1577","2457952","34599"
"blur","1578","2460861","34599"
"focus","1582","2462375","34599"
"blur","1583","2463392","34599"
"focus","1588","2468521","34599"
"blur","1590","2469937","34599"
"focus","1594","2475482","34599"
"blur","1596","2476409","34599"
"focus","1604","2489770","34599"
"blur","1610","2493872","34599"
"focus","1616","2503874","34599"
"blur","1623","2510056","34599"
"focus","1636","2531478","34599"
"blur","1638","2532924","34599"
"focus","1646","2547035","34599"
"blur","1651","2549847","34599"
"focus","1658","2559386","34599"
"blur","1663","2562808","34599"
"focus","1665","2566091","34599"
"blur","1670","2569700","34599"
"focus","1685","2592904","34599"
"blur","1691","2597376","34599"
"focus","1694","2601576","34599"
"blur","1694","2607225","34599"
"focus","1694","2757284","34599"
"blur","1694","2758589","34599"
"focus","1694","2760108","34599"
"blur","1705","2773496","34599"
"focus","1709","2777588","34599"
"blur","1711","2778665","34599"
"focus","1716","2784104","34599"
"blur","1717","2785010","34599"
"focus","1719","2788082","34599"
"blur","1723","2789793","34599"
"focus","1725","2793584","34599"
"blur","1730","2795697","34599"
"focus","1733","2798904","34599"
"blur","1758","2818261","34599"
"focus","1760","2819739","34599"
"blur","1764","2821360","34599"
"focus","1766","2823908","34599"
"blur","1854","2878216","34599"
"focus","1855","2878884","34599"
"blur","1858","2880224","34599"
"focus","1859","2881434","34599"
"blur","1929","2925398","34599"
"focus","1931","2927223","34599"
"blur","1933","2928233","34599"
"focus","1934","2930942","34599"
"blur","1947","2938688","34599"
"focus","1950","2942753","34599"
"blur","1962","2954152","34599"
"focus","1962","3312333","34599"
"blur","1962","3313728","34599"
"focus","1962","3325922","34599"
"blur","1962","3326884","34599"
"focus","1962","3337631","34599"
"blur","1962","3633218","34599"
"focus","1962","3634525","34599"
"blur","2519","4044336","34599"
"focus","2519","4073267","34599"
"blur","2523","4098754","34599"
"focus","2523","4101092","34599"
