"event","trial","time","PID"
"fullscreenenter","0","9158","82907"
"fullscreenexit","623","660535","82907"
"blur","928","940102","82907"
"focus","928","971066","82907"
"blur","1188","1194601","82907"
"focus","1188","1368420","82907"
"blur","1451","1600710","82907"
"focus","1451","1634185","82907"
"blur","1451","1637117","82907"
"focus","1451","1778971","82907"
"blur","1706","2000810","82907"
"focus","1706","2040292","82907"
"blur","1706","2042757","82907"
"focus","1706","2152577","82907"
"blur","2217","2613393","82907"
"focus","2217","2832136","82907"
"blur","2483","3165965","82907"
"focus","2483","3178965","82907"
