"event","trial","time","PID"
"fullscreenenter","0","1146","17017"
"fullscreenexit","1","5423","17017"
"blur","45","75310","17017"
"focus","48","77500","17017"
"blur","75","101938","17017"
"focus","122","149235","17017"
"blur","122","149236","17017"
"focus","125","154999","17017"
"blur","130","159119","17017"
"focus","329","666861","17017"
"blur","329","667337","17017"
"focus","329","779481","17017"
"blur","329","786265","17017"
"focus","329","795448","17017"
"blur","329","797045","17017"
"focus","329","801719","17017"
"blur","329","803970","17017"
"focus","329","804300","17017"
"blur","329","838915","17017"
"focus","329","866206","17017"
"blur","329","873363","17017"
"focus","329","881985","17017"
"blur","329","885666","17017"
"focus","329","893994","17017"
"blur","329","901214","17017"
"focus","329","902854","17017"
"blur","349","918740","17017"
"focus","352","922324","17017"
"blur","354","923656","17017"
"focus","357","927571","17017"
"blur","361","930652","17017"
"focus","361","931019","17017"
"blur","597","1210618","17017"
"focus","597","1346346","17017"
"blur","597","1351350","17017"
"focus","597","1351690","17017"
"blur","868","1576912","17017"
"focus","868","1577353","17017"
"blur","870","1582127","17017"
"focus","870","1582420","17017"
"blur","1103","1779188","17017"
"focus","1103","1779779","17017"
"blur","1105","1781363","17017"
"focus","1105","1781662","17017"
"blur","1337","2081859","17017"
"focus","1337","2082351","17017"
"blur","1339","2083870","17017"
"focus","1339","2084096","17017"
"blur","2282","3507127","17017"
"focus","2282","3517799","17017"
"blur","2292","3563407","17017"
"focus","2292","3583635","17017"
