"event","trial","time","PID"
"blur","0","6355","38992"
"focus","0","14445","38992"
"blur","0","17765","38992"
"focus","0","23192","38992"
"fullscreenenter","0","33808","38992"
"blur","627","637306","38992"
"focus","627","642658","38992"
"blur","933","884119","38992"
"focus","933","898970","38992"
"blur","1210","1124863","38992"
"focus","1210","1133205","38992"
"blur","1210","1165553","38992"
"focus","1210","1169583","38992"
"blur","1741","1588906","38992"
"focus","1741","1592305","38992"
"blur","2005","1788490","38992"
"focus","2005","1804417","38992"
"blur","2263","2003008","38992"
"focus","2263","2005317","38992"
"blur","2263","2006027","38992"
"focus","2263","2009748","38992"
"blur","2526","2280773","38992"
"focus","2526","2283342","38992"
