"event","trial","time","PID"
"fullscreenenter","0","11111","91212"
"blur","1469","1501697","91212"
"focus","1469","1635133","91212"
"blur","1593","1722576","91212"
"focus","1596","1725363","91212"
"blur","1608","1733913","91212"
"focus","1610","1734563","91212"
"blur","1642","1757007","91212"
"focus","1643","1759376","91212"
"blur","1669","1780041","91212"
"focus","1675","1784831","91212"
"blur","1689","1796221","91212"
"focus","1690","1798233","91212"
"blur","1702","1805839","91212"
"focus","1703","1807932","91212"
"blur","1715","1814956","91212"
"focus","1717","1816727","91212"
"blur","1727","1824662","91212"
"focus","1729","1827804","91212"
"blur","1729","1831811","91212"
"focus","1729","1838014","91212"
"blur","1729","1849015","91212"
"focus","1729","1877213","91212"
"blur","1729","1885122","91212"
"focus","1729","1952298","91212"
"blur","2534","2634351","91212"
"focus","2534","2649218","91212"
