"event","trial","time","PID"
"blur","0","3415","21332"
"focus","0","5643","21332"
"fullscreenenter","0","8182","21332"
"fullscreenexit","322","428454","21332"
"blur","322","429586","21332"
"focus","322","468841","21332"
"blur","947","939319","21332"
"focus","947","952532","21332"
"blur","1219","1225116","21332"
"focus","1219","1235460","21332"
"blur","1528","1642195","21332"
"focus","1529","1644641","21332"
"blur","2420","2298375","21332"
"focus","2422","2301350","21332"
"blur","2578","2464577","21332"
"focus","2578","2470026","21332"
"blur","2578","2473860","21332"
"focus","2578","2474913","21332"
