"event","trial","time","PID"
"fullscreenenter","0","3431","91055"
"blur","891","922905","91055"
"focus","896","928546","91055"
"blur","898","930787","91055"
"focus","935","982448","91055"
"blur","1171","1175116","91055"
"focus","1173","1177497","91055"
"fullscreenexit","1732","1657947","91055"
"blur","2307","2139484","91055"
"focus","2313","2146268","91055"
"blur","2405","2221870","91055"
"focus","2407","2223762","91055"
"blur","2487","2294664","91055"
"focus","2487","2294770","91055"
"blur","2503","2370037","91055"
