"event","trial","time","PID"
"blur","0","0","69078"
"focus","0","1189","69078"
"fullscreenenter","0","6227","69078"
"blur","1466","1789975","69078"
"focus","1466","1843395","69078"
"blur","1728","2042607","69078"
"focus","1728","2046930","69078"
"blur","1728","2047709","69078"
"focus","1728","2048361","69078"
"blur","1990","2272692","69078"
"focus","1990","2378620","69078"
"blur","2511","2981279","69078"
"focus","2514","2984548","69078"
"blur","2517","3091972","69078"
"focus","2517","3150112","69078"
"blur","2518","3166531","69078"
"focus","2518","3176414","69078"
