"","PID","total_bonus_tally"
"722994",61411,2.8
"725587",61788,2.47
"728071",61830,3.91
"730560",61872,3.93
"732865",62050,2.54
"735378",62135,3.52
"737963",62175,2.64
"740428",62359,4.17
"742999",62755,2.56
"745496",62907,3.62
"747981",63243,3.93
"750504",63347,2.45
"752756",63397,2.16
"755349",63865,2.58
"757963",64041,2.31
"760508",64147,2.66
"763004",64227,2.41
"765505",64270,2.41
"768006",64375,3.54
"770630",64465,2.26
"773088",64550,4.24
"775552",64597,4.17
"778093",64641,3.19
"780375",64928,2.34
"782960",65077,2.44
"785466",65334,3.56
"787952",65491,3.7
"790458",65889,3.67
"793042",65911,2.56
"795626",65964,2.73
"798082",66133,4.12
"800705",66582,1.96
"803040",66637,3.31
"805547",66645,3.66
"808070",66749,3.37
"810588",67019,3.52
"813066",67616,3.99
"815380",67627,2.31
"817880",67690,2.54
"820300",67857,2.35
"822882",67863,2.64
"825405",68181,3.43
"827949",68207,2.22
"830363",68843,3.66
"832836",68874,4.05
"835395",69308,2.97
"837938",69931,3.01
"840499",70038,2.98
"842998",70075,3.72
"845546",70203,2.36
"848026",70226,3.96
"850586",70502,2.95
"853097",70736,2.39
"855663",70745,2.66
"858109",70772,4.23
"860560",71197,4.33
"863122",71491,2.93
"865655",71531,3.28
"868123",72036,4.12
"870564",72057,4.39
"873065",72112,3.67
"875463",72289,2.27
"877949",72773,3.75
"880533",72928,2.44
"883047",73092,3.57
"885649",73355,2.36
"888198",73503,2.53
"890716",73731,3.52
"893173",73803,3.5
"895655",74305,3.94
"898238",74365,2.29
"900833",74652,2.34
"903412",74680,2.73
"906015",74735,2.45
"908614",75093,2.5
"911106",75101,3.85
"913539",75141,4.18
"916051",75150,3.56
"918672",75665,2.34
"921225",75910,3.04
"923673",76028,4.37
"926295",76070,2.39
"928748",76112,4.28
"931248",76174,3.71
"933761",76447,3.55
"936278",76526,3.57
"938892",76655,2.31
"941372",76734,3.89
"943799",76981,2.67
"946126",77211,2.32
"948619",77609,3.09
"951242",77686,2.16
"953710",77689,4.04
"956292",77769,2.42
"958810",77831,3.46
"961303",77842,3.8
"963841",78391,2.8
"966284",78411,4.26
"968841",78686,2.32
"971303",79908,3.99
"973928",80191,2.25
"976542",80373,2.27
"979162",80680,2.23
"981754",80890,2.32
"984245",81064,3.83
"986743",81090,3.78
"989231",81167,3.85
"991828",81199,2.53
"994358",81300,3.37
"996958",81354,2.46
"999402",81438,2.4
"1001885",82049,2.18
"1004358",82072,4.05
"1006813",82299,2.3
"1009324",82313,3.61
"1011913",82516,2.46
"1014202",82896,2.31
"1016687",82907,3.8
"1019164",82950,4.03
"1021638",83263,4.07
"1024075",83264,4.51
"1026522",83352,4.38
"1029093",83730,2.73
"1031605",83965,3.51
"1034087",84885,2.49
"1036587",84928,3.71
"1039081",85328,3.79
"1041580",85528,3.76
